Cdid;Cdname;Caption;Mcaption;Cdgrp;Cdidx;Cdval;Ftag;Visible;App
B1;BATCHSTEP;BATCH STEP 1;"{""lo"":"""",""mn"":"""",""vi"":"""",""en"":""BATCH STEP 1"",""km"":""""}";CRD;3;;;0;ncbsCbs
B2;BATCHSTEP;BATCH STEP 2;"{""en"":""BATCH STEP 2"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;1;;;1;ncbsCbs
B3;BATCHSTEP;BATCH STEP 3;"{""en"":""BATCH STEP 3"",""vi"":"""",""lo"":"""",""km"":"""",""mn"":""""}";CRD;2;;;1;ncbsCbs
8X4;SUBSECTOR;Auto Repair Services;"{""en"":""Auto Repair Services"",""vi"":""Auto Repair Services"",""lo"":"""",""km"":""Auto Repair Services"",""mn"":""""}";CTM;4;4;;1;ncbsCbs
8X6;SUBSECTOR;Educational Services;"{""en"":""Educational Services"",""vi"":""Educational Services"",""lo"":"""",""km"":""Educational Services"",""mn"":""""}";CTM;6;6;;1;ncbsCbs
8X7;SUBSECTOR;Other Services;"{""en"":""Other Services"",""vi"":""Other Services"",""lo"":"""",""km"":""Other Services"",""mn"":""""}";CTM;7;7;;1;ncbsCbs
8X8;SUBSECTOR;Information Media and Telecommunications;"{""en"":""Information Media and Telecommunications"",""vi"":""Information Media and Telecommunications"",""lo"":"""",""km"":""Information Media and Telecommunications"",""mn"":""""}";CTM;8;8;;1;ncbsCbs
8X9;SUBSECTOR;Rental and Operational Leasing Activities;"{""en"":""Rental and Operational Leasing Activities"",""vi"":""Rental and Operational Leasing Activities"",""lo"":"""",""km"":""Rental and Operational Leasing Activities"",""mn"":""""}";CTM;9;9;;1;ncbsCbs
9X1;SUBSECTOR;Land Transportation;"{""en"":""Land Transportation"",""vi"":""Land Transportation"",""lo"":"""",""km"":""Land Transportation"",""mn"":""""}";CTM;1;1;;1;ncbsCbs
9X2;SUBSECTOR;Water Transportation;"{""en"":""Water Transportation"",""vi"":""Water Transportation"",""lo"":"""",""km"":""Water Transportation"",""mn"":""""}";CTM;2;2;;1;ncbsCbs
9X3;SUBSECTOR;Air Transportation;"{""en"":""Air Transportation"",""vi"":""Air Transportation"",""lo"":"""",""km"":""Air Transportation"",""mn"":""""}";CTM;3;3;;1;ncbsCbs
9X4;SUBSECTOR;Postal Services;"{""en"":""Postal Services"",""vi"":""Postal Services"",""lo"":"""",""km"":""Postal Services"",""mn"":""""}";CTM;4;4;;1;ncbsCbs
9X5;SUBSECTOR;Communications Services;"{""en"":""Communications Services"",""vi"":""Communications Services"",""lo"":"""",""km"":""Communications Services"",""mn"":""""}";CTM;5;5;;1;ncbsCbs
9X6;SUBSECTOR;Electricity;"{""en"":""Electricity"",""vi"":""Electricity"",""lo"":"""",""km"":""Electricity"",""mn"":""""}";CTM;6;6;;1;ncbsCbs
9X7;SUBSECTOR;Waste Collection, Treatment and Disposal;"{""en"":""Waste Collection, Treatment and Disposal"",""vi"":""Waste Collection, Treatment and Disposal"",""lo"":"""",""km"":""Waste Collection, Treatment and Disposal"",""mn"":""""}";CTM;7;7;;1;ncbsCbs
9X8;SUBSECTOR;Transport Supporting Activities and Travel Agencies;"{""en"":""Transport Supporting Activities and Travel Agencies"",""vi"":""Transport Supporting Activities and Travel Agencies"",""lo"":"""",""km"":""Transport Supporting Activities and Travel Agencies"",""mn"":""""}";CTM;8;8;;1;ncbsCbs
9X9;SUBSECTOR;Gas;"{""en"":""Gas"",""vi"":""Gas"",""lo"":"""",""km"":""Gas"",""mn"":""""}";CTM;9;9;;1;ncbsCbs
9X10;SUBSECTOR;Water, Sewerage and Drainage;"{""en"":""Water, Sewerage and Drainage"",""vi"":""Water, Sewerage and Drainage"",""lo"":"""",""km"":""Water, Sewerage and Drainage"",""mn"":""""}";CTM;10;10;;1;ncbsCbs
