Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
001101010101010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010301,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010401,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010501,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010602,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010603,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010701,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010801,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010902,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010903,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101010904,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011001,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011102,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011103,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011104,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011301,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011302,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011303,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011304,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011401,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011501,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011601,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011702,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011801,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101011901,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012001,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012102,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012103,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012104,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012202,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101010101012203,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
