Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,BranchCode,CurrencyCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
002101010101010101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010201,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010301,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010401,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010501,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010602,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010603,002,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010701,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010801,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010902,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010903,002,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101010904,002,SGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101011001,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101011101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101011102,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101010101011103,002,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
