Database,Accounting,Table,AccountMapping,,,
MappingId,MappingTableName,AccountName,MappingType,CreatedOnUtc,UpdatedOnUtc,Id
002101010101010101,10101010101,,A,,,0
002101010101010201,10101010101,,A,,,0
002101010101010301,10101010101,,A,,,0
002101010101010401,10101010101,,A,,,0
002101010101010501,10101010101,,A,,,0
002101010101010602,10101010101,,A,,,0
002101010101010603,10101010101,,A,,,0
002101010101010701,10101010101,,A,,,0
002101010101010801,10101010101,,A,,,0
002101010101010902,10101010101,,A,,,0
002101010101010903,10101010101,,A,,,0
002101010101010904,10101010101,,A,,,0
002101010101011001,10101010101,,A,,,0
002101010101011101,10101010101,,A,,,0
002101010101011102,10101010101,,A,,,0
002101010101011103,10101010101,,A,,,0
002101010101011104,10101010101,,A,,,0
002101010101011201,10101010101,,A,,,0
002101010101011301,10101010101,,A,,,0
002101010101011302,10101010101,,A,,,0
002101010101011303,10101010101,,A,,,0
002101010101011304,10101010101,,A,,,0
002101010101011401,10101010101,,A,,,0
002101010101011501,10101010101,,A,,,0
002101010101011601,10101010101,,A,,,0
002101010101011702,10101010101,,A,,,0
002101010101011801,10101010101,,A,,,0
002101010101011901,10101010101,,A,,,0
002101010101012001,10101010101,,A,,,0
002101010101012101,10101010101,,A,,,0
002101010101012102,10101010101,,A,,,0
002101010101012103,10101010101,,A,,,0
002101010101012104,10101010101,,A,,,0
002101010101012201,10101010101,,A,,,0
002101010101012202,10101010101,,A,,,0
002101010101012203,10101010101,,A,,,0
002101010101012204,10101010101,,A,,,0
002101010101012301,10101010101,,A,,,0
002101010101012401,10101010101,,A,,,0
002101010101012402,10101010101,,A,,,0
002101010101012403,10101010101,,A,,,0
002101010101012404,10101010101,,A,,,0
002101010101012501,10101010101,,A,,,0
002101010101012601,10101010101,,A,,,0
002101010101012701,10101010101,,A,,,0
002101010102010101,10101010201,,A,,,0
002101010102010201,10101010201,,A,,,0
002101010102010301,10101010201,,A,,,0
002101010102010401,10101010201,,A,,,0
002101010102010501,10101010201,,A,,,0
002101010201010101,10101020101,,A,,,0
002101010201010201,10101020101,,A,,,0
002101010201010301,10101020101,,A,,,0
002101010201010401,10101020101,,A,,,0
002101010202010101,10101020201,,A,,,0
002101010202010201,10101020201,,A,,,0
002101020100000101,10102010000,,A,,,0
002101020100000201,10102010000,,A,,,0
002101020100000301,10102010000,,A,,,0
002101020100000401,10102010000,,A,,,0
002101020100000502,10102010000,,A,,,0
002101020100000503,10102010000,,A,,,0
002101020100000504,10102010000,,A,,,0
002101030100000101,10103010000,,A,,,0
002101030100000102,10103010000,,A,,,0
002101030100000103,10103010000,,A,,,0
002101030100000104,10103010000,,A,,,0
002101030100000106,10103010000,,A,,,0
002101040101000102,10104010100,,A,,,0
002101040101000104,10104010100,,A,,,0
002101040101000202,10104010100,,A,,,0
002101040101000302,10104010100,,A,,,0
002101040101000402,10104010100,,A,,,0
002101040101000506,10104010100,,A,,,0
002101040101000502,10104010100,,A,,,0
002101040101000604,10104010100,,A,,,0
002101040101000602,10104010100,,A,,,0
002101040101000704,10104010100,,A,,,0
002101040101000802,10104010100,,A,,,0
002101040101000902,10104010100,,A,,,0
002101040101001002,10104010100,,A,,,0
002101050100000101,10105010000,,A,,,0
002101060100000101,10106010000,,A,,,0
002101060100000102,10106010000,,A,,,0
002101070100000102,10107010000,,A,,,0
002101070100000103,10107010000,,A,,,0
002101070100000104,10107010000,,A,,,0
002101070100000106,10107010000,,A,,,0
002102010101000101,10201010100,,A,,,0
002102010101000201,10201010100,,A,,,0
002103010101010101,10301010101,,A,,,0
002103010101010201,10301010101,,A,,,0
002103010101010301,10301010101,,A,,,0
002103010101010401,10301010101,,A,,,0
002103010101010501,10301010101,,A,,,0
002103010101010601,10301010101,,A,,,0
002103010101010701,10301010101,,A,,,0
002103010101010802,10301010101,,A,,,0
002103010101010801,10301010101,,A,,,0
002103010101010901,10301010101,,A,,,0
002103010101011001,10301010101,,A,,,0
002103010101011101,10301010101,,A,,,0
002103010101011201,10301010101,,A,,,0
002103010201010101,10301020101,,A,,,0
002103010201010201,10301020101,,A,,,0
002103010202010101,10301020201,,A,,,0
002103010203010101,10301020301,,A,,,0
002103010204010101,10301020401,,A,,,0
002103010205010101,10301020501,,A,,,0
002103010206010101,10301020601,,A,,,0
002103010301010101,10301030101,,A,,,0
002103010301010201,10301030101,,A,,,0
002103010302010101,10301030201,,A,,,0
002103010302010201,10301030201,,A,,,0
002103010303010101,10301030301,,A,,,0
002103010304010101,10301030401,,A,,,0
002103010305010101,10301030501,,A,,,0
002103010306010101,10301030601,,A,,,0
002103010307010101,10301030701,,A,,,0
002103010307010201,10301030701,,A,,,0
002103020000000001,10302000000,,A,,,0
002103020101010102,10302010101,,A,,,0
002103030101010101,10303010101,,A,,,0
002103030101010201,10303010101,,A,,,0
002103030102010101,10303010201,,A,,,0
002103030202010101,10303020201,,A,,,0
002103040101010101,10304010101,,A,,,0
002103040101010201,10304010101,,A,,,0
002103040102010101,10304010201,,A,,,0
002103040201010101,10304020101,,A,,,0
002103040201010201,10304020101,,A,,,0
002103040202010101,10304020201,,A,,,0
002104010101000101,10401010100,,A,,,0
002104010201000101,10401020100,,A,,,0
002104010201000201,10401020100,,A,,,0
002104020101000101,10402010100,,A,,,0
002106010100000101,10601010000,,A,,,0
002106020100000101,10602010000,,A,,,0
002107010100000101,10701010000,,A,,,0
002107020100000101,10702010000,,A,,,0
002107030100000101,10703010000,,A,,,0
002107040100000101,10704010000,,A,,,0
002107050100000101,10705010000,,A,,,0
002107060100000101,10706010000,,A,,,0
002107070100000101,10707010000,,A,,,0
002108010100000101,10801010000,,A,,,0
002109010100000101,10901010000,,A,,,0
002109020100000101,10902010000,,A,,,0
002110010101000101,11001010100,,A,,,0
002110010101000201,11001010100,,A,,,0
002110020101000101,11002010100,,A,,,0
002110020101000201,11002010100,,A,,,0
002110020201010101,11002020101,,A,,,0
002110020201010201,11002020101,,A,,,0
002110020201010301,11002020101,,A,,,0
002110020201010401,11002020101,,A,,,0
002110020201010501,11002020101,,A,,,0
002110020201010601,11002020101,,A,,,0
002110020201010701,11002020101,,A,,,0
002110020201010801,11002020101,,A,,,0
002110020201010901,11002020101,,A,,,0
002110020201011001,11002020101,,A,,,0
002110020301000102,11002030100,,A,,,0
