Database,Admin,Table,Branch,,,,,,,,,,,,,,,,,,,,,,
BranchCode,OldBranchId,BranchName,BranchAddress,BranchPhone,PhoneNumber,TaxCode,BaseCurrencyCode,BaseCurrencyName,LocalCurrencyCode,LocalCurrencyName,ReferenceCode,Country,MainLanguage,TimeZoneOfBranch,ThousandSeparateCharacter,DecimalSeparateCharacter,DateFormatForShort,LongDateFormat,TimeFormat,IsOnline,LongBranchName,Region,UpdatedOnUtc,CreatedOnUtc,Id
001,,Head Office,"No. 66/67, Corner of Merchant Road and Pansodan Road, Kyauktada Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,,T1,Y,,R3,,,0
002,,Yangon Head Office Branch,"No. 66/67, Corner of Merchant Road and Pansodan Road, Kyauktada Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,,T1,Y,,R2,,,0
003,,Bayint Naung Branch,"Tatalingyate -39 (A), Bayint Naung Road, Mayangone Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
004,,Mandalay Branch,"No. 132-51, Corner of 27*79 street, Chanayetharsan Township, Mandalay",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
005,,Yarzadirit Branch,"No. 149 (C) Yarzadirit Tower, Room No. 8.G/9.G/10.G, Corner of Yarzadirit Road and Thanlyatsoon Road, Botahtaung Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
006,,Shwe Gone Thu Branch,"Building No. A-1, Room No. G-5, Shwe Gone Thu Housing, Lower Kyeemyindine Road, Kyeemyindine Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
007,,Mawlamyine Branch,"No. 26, Plot No. 36, No. 151/C, Dine Won Kwin Road, Mandalay Ward, Mawlamyine",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
008,,Nay Pyi Taw Branch,"No. Pa-29/30, Pwe Yone Tan, Thapaya Kone Ward, Zabuthiri Township, Nay Pyi Taw",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
009,,Bago Branch,"No. 62, Thanappin Street, Nantawyar Quarter, Bago",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
996,,Digital Banking,"No. 66/67, Corner of Merchant Road and Pansodan Road, Kyauktada Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
997,,Agent Banking,"No. 66/67, Corner of Merchant Road and Pansodan Road, Kyauktada Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
998,,Consumer Banking,"No. 66/67, Corner of Merchant Road and Pansodan Road, Kyauktada Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
999,,International Banking,"No. 66/67, Corner of Merchant Road and Pansodan Road, Kyauktada Township, Yangon",,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,MMK,MMK,MMK,MMK,"{""Bic"":"""",""DomesticBankCode"":"""",""InternalCode"":""""}",MM,en,6.5,",",.,D1,-,T1,Y,,R1,,,0
