Database,Admin,Table,RoleOfUser,
RoleId,UserCode,UpdatedOnUtc,CreatedOnUtc,Id
1,00911,,,0
2,00911,,,0
1,00921,,,0
2,00921,,,0
1,00922,,,0
2,00922,,,0
1,00923,,,0
2,00923,,,0
1,00924,,,0
2,00924,,,0
1,00925,,,0
2,00925,,,0
1,00926,,,0
2,00926,,,0
2,00008,,,0
1,00008,,,0
3,00009,,,0
4,00020,,,0
4,00021,,,0
4,00022,,,0
4,00023,,,0
4,00024,,,0
4,00025,,,0
4,00026,,,0
4,00027,,,0
4,00028,,,0
4,00029,,,0
4,00030,,,0
4,00031,,,0
4,00032,,,0
4,00033,,,0
4,00034,,,0
4,00035,,,0
4,00036,,,0
4,00037,,,0
4,00038,,,0
4,00039,,,0
4,00040,,,0
4,00041,,,0
4,00054,,,0
4,00055,,,0
4,00056,,,0
4,00057,,,0
4,00058,,,0
4,00059,,,0
5,00010,,,0
5,00011,,,0
5,00012,,,0
5,00013,,,0
5,00014,,,0
5,00015,,,0
5,00016,,,0
5,00017,,,0
5,00018,,,0
5,00019,,,0
5,00042,,,0
5,00043,,,0
5,00044,,,0
5,00045,,,0
5,00046,,,0
5,00047,,,0
5,00048,,,0
5,00049,,,0
5,00050,,,0
5,00051,,,0
5,00052,,,0
5,00053,,,0
5,00060,,,0
5,00061,,,0
5,00062,,,0
5,00063,,,0
5,00064,,,0
5,00065,,,0
4,00066,,,0
5,00067,,,0
4,00074,,,0
4,00075,,,0
5,00076,,,0
5,00077,,,0
4,00080,,,0
4,00081,,,0
5,00082,,,0
5,00083,,,0
