Database,Admin,Table,UserLimit,,,,,,
RoleId,CommandId,CurrencyCode,ULimit,CvTable,LimitType,Margin,UpdatedOnUtc,CreatedOnUtc,Id
2,ACT_ACT,MMK,9999999999999.000,,I,0,,,0
2,ACT_CSH,MMK,9999999999999.000,,I,0,,,0
2,ACT_DPT,MMK,9999999999999.000,,I,0,,,0
2,ACT_FEE,MMK,9999999999999.000,,I,0,,,0
2,ACT_GFEE,MMK,9999999999999.000,,I,0,,,0
2,ACT_MAN,MMK,9999999999999.000,,I,0,,,0
2,ADM_FXD,MMK,9999999999999.000,,I,0,,,0
2,CRD_APR,MMK,9999999999999.000,,I,0,,,0
2,CRD_BLK,MMK,9999999999999.000,,I,0,,,0
2,CRD_CAS,MMK,9999999999999.000,,I,0,,,0
2,CRD_CDR,MMK,9999999999999.000,,I,0,,,0
2,CRD_CIPM,MMK,9999999999999.000,,I,0,,,0
2,CRD_CLA,MMK,9999999999999.000,,I,0,,,0
2,CRD_CLS,MMK,9999999999999.000,,I,0,,,0
2,CRD_EXT,MMK,9999999999999.000,,I,0,,,0
2,CRD_FCD,MMK,9999999999999.000,,I,0,,,0
2,CRD_FCG,MMK,9999999999999.000,,I,0,,,0
2,CRD_FOC,MMK,9999999999999.000,,I,0,,,0
2,CRD_FRG,MMK,9999999999999.000,,I,0,,,0
2,CRD_HIS,MMK,9999999999999.000,,I,0,,,0
2,CRD_IFC,MMK,9999999999999.000,,I,0,,,0
2,CRD_IPCT,MMK,9999999999999.000,,I,0,,,0
2,CRD_MDR,MMK,9999999999999.000,,I,0,,,0
2,CRD_MIPM,MMK,9999999999999.000,,I,0,,,0
2,CRD_NPL,MMK,9999999999999.000,,I,0,,,0
2,CRD_OPN,MMK,9999999999999.000,,I,0,,,0
2,CRD_PLA,MMK,9999999999999.000,,I,0,,,0
2,CRD_PLAD,MMK,9999999999999.000,,I,0,,,0
2,CRD_PLC,MMK,9999999999999.000,,I,0,,,0
2,CRD_PLO,MMK,9999999999999.000,,I,0,,,0
2,CRD_REJ,MMK,9999999999999.000,,I,0,,,0
2,CRD_RFC,MMK,9999999999999.000,,I,0,,,0
2,CRD_RFD,MMK,9999999999999.000,,I,0,,,0
2,CRD_RLS,MMK,9999999999999.000,,I,0,,,0
2,CRD_SPAD,MMK,9999999999999.000,,I,0,,,0
2,CRD_SPLA,MMK,9999999999999.000,,I,0,,,0
2,CRD_SPLC,MMK,9999999999999.000,,I,0,,,0
2,CRD_SPLO,MMK,9999999999999.000,,I,0,,,0
2,CRD_TDR,MMK,9999999999999.000,,I,0,,,0
2,CSH_ACT,MMK,9999999999999.000,,I,0,,,0
2,CSH_BMOV,MMK,9999999999999.000,,I,0,,,0
2,CSH_CSH,MMK,9999999999999.000,,I,0,,,0
2,CSH_DNM,MMK,9999999999999.000,,I,0,,,0
2,CSH_DPT,MMK,9999999999999.000,,I,0,,,0
2,CSH_MOV,MMK,9999999999999.000,,I,0,,,0
2,CTM_APR,MMK,9999999999999.000,,I,0,,,0
2,CTM_CAS,MMK,9999999999999.000,,I,0,,,0
2,DPT_ACT,MMK,9999999999999.000,,I,0,,,0
2,DPT_APR,MMK,9999999999999.000,,I,0,,,0
2,DPT_BLK,MMK,9999999999999.000,,I,0,,,0
2,DPT_CAS,MMK,9999999999999.000,,I,0,,,0
2,DPT_CCI,MMK,9999999999999.000,,I,0,,,0
2,DPT_CCR,MMK,9999999999999.000,,I,0,,,0
2,DPT_CCW,MMK,9999999999999.000,,I,0,,,0
2,DPT_CDP,MMK,9999999999999.000,,I,0,,,0
2,DPT_CDT,MMK,9999999999999.000,,I,0,,,0
2,DPT_CEI,MMK,9999999999999.000,,I,0,,,0
2,DPT_CER,MMK,9999999999999.000,,I,0,,,0
2,DPT_CIP,MMK,9999999999999.000,,I,0,,,0
2,DPT_CIQ,MMK,9999999999999.000,,I,0,,,0
2,DPT_CIS,MMK,9999999999999.000,,I,0,,,0
2,DPT_CLS,MMK,9999999999999.000,,I,0,,,0
2,DPT_COD,MMK,9999999999999.000,,I,0,,,0
2,DPT_COG,MMK,9999999999999.000,,I,0,,,0
2,DPT_CRT,MMK,9999999999999.000,,I,0,,,0
2,DPT_CSH,MMK,9999999999999.000,,I,0,,,0
2,DPT_CTS,MMK,9999999999999.000,,I,0,,,0
2,DPT_CWC,MMK,9999999999999.000,,I,0,,,0
2,DPT_CWM,MMK,9999999999999.000,,I,0,,,0
2,DPT_CWR,MMK,9999999999999.000,,I,0,,,0
2,DPT_DIP,MMK,9999999999999.000,,I,0,,,0
2,DPT_DLS,MMK,9999999999999.000,,I,0,,,0
2,DPT_DPT,MMK,9999999999999.000,,I,0,,,0
2,DPT_EMK,MMK,9999999999999.000,,I,0,,,0
2,DPT_ERL,MMK,9999999999999.000,,I,0,,,0
2,DPT_FBI,MMK,9999999999999.000,,I,0,,,0
2,DPT_FEE,MMK,9999999999999.000,,I,0,,,0
2,DPT_FOC,MMK,9999999999999.000,,I,0,,,0
2,DPT_HIS,MMK,9999999999999.000,,I,0,,,0
2,DPT_IFC,MMK,9999999999999.000,,I,0,,,0
2,DPT_MDP,MMK,9999999999999.000,,I,0,,,0
2,DPT_MIP,MMK,9999999999999.000,,I,0,,,0
2,DPT_MLS,MMK,9999999999999.000,,I,0,,,0
2,DPT_MWR,MMK,9999999999999.000,,I,0,,,0
2,DPT_ODA,MMK,9999999999999.000,,I,0,,,0
2,DPT_ODO,MMK,9999999999999.000,,I,0,,,0
2,DPT_OPAL,MMK,9999999999999.000,,I,0,,,0
2,DPT_OPN,MMK,9999999999999.000,,I,0,,,0
2,DPT_POI,MMK,9999999999999.000,,I,0,,,0
2,DPT_POW,MMK,9999999999999.000,,I,0,,,0
2,DPT_RCC,MMK,9999999999999.000,,I,0,,,0
2,DPT_REC,MMK,9999999999999.000,,I,0,,,0
2,DPT_REJ,MMK,9999999999999.000,,I,0,,,0
2,DPT_RLS,MMK,9999999999999.000,,I,0,,,0
2,DPT_RPO,MMK,9999999999999.000,,I,0,,,0
2,DPT_SAB,MMK,9999999999999.000,,I,0,,,0
2,DPT_SAT,MMK,9999999999999.000,,I,0,,,0
2,DPT_SBI,MMK,9999999999999.000,,I,0,,,0
2,DPT_SLS,MMK,9999999999999.000,,I,0,,,0
2,DPT_SRA,MMK,9999999999999.000,,I,0,,,0
2,DPT_SRG,MMK,9999999999999.000,,I,0,,,0
2,DPT_TRF,MMK,9999999999999.000,,I,0,,,0
2,FAC_CLS,MMK,9999999999999.000,,I,0,,,0
2,FAC_OPN,MMK,9999999999999.000,,I,0,,,0
2,FAC_PBC,MMK,9999999999999.000,,I,0,,,0
2,FAC_PBD,MMK,9999999999999.000,,I,0,,,0
2,FAC_PBG,MMK,9999999999999.000,,I,0,,,0
2,FAC_SBC,MMK,9999999999999.000,,I,0,,,0
2,FAC_SBD,MMK,9999999999999.000,,I,0,,,0
2,FAC_SBG,MMK,9999999999999.000,,I,0,,,0
2,FAC_TFB,MMK,9999999999999.000,,I,0,,,0
2,MTG_APR,MMK,9999999999999.000,,I,0,,,0
2,MTG_BLK,MMK,9999999999999.000,,I,0,,,0
2,MTG_BRL,MMK,9999999999999.000,,I,0,,,0
2,MTG_CLS,MMK,9999999999999.000,,I,0,,,0
2,MTG_DCR,MMK,9999999999999.000,,I,0,,,0
2,MTG_HDT,MMK,9999999999999.000,,I,0,,,0
2,MTG_INR,MMK,9999999999999.000,,I,0,,,0
2,MTG_OPN,MMK,.000,,I,0,,,0
2,MTG_RLS,MMK,9999999999999.000,,I,0,,,0
2,MTG_RLS_OD,MMK,9999999999999.000,,I,0,,,0
2,MTG_RTN,MMK,9999999999999.000,,I,0,,,0
2,MTG_SCR,MMK,9999999999999.000,,I,0,,,0
2,MTG_SCR_OD,MMK,9999999999999.000,,I,0,,,0
2,PMT_IIT,MMK,9999999999999.000,,I,0,,,0
2,PMT_OIT,MMK,9999999999999.000,,I,0,,,0
2,PMT_OITT,MMK,9999999999999.000,,I,0,,,0
2,PMT_IITT,MMK,9999999999999.000,,I,0,,,0
2,PMT_KITT,MMK,9999999999999.000,,I,0,,,0
2,ACT_ACT,MMK,9999999999999.000,,A,0,,,0
2,ACT_CSH,MMK,9999999999999.000,,A,0,,,0
2,ACT_DPT,MMK,9999999999999.000,,A,0,,,0
2,ACT_FEE,MMK,9999999999999.000,,A,0,,,0
2,ACT_GFEE,MMK,9999999999999.000,,A,0,,,0
2,ACT_MAN,MMK,9999999999999.000,,A,0,,,0
2,ADM_FXD,MMK,9999999999999.000,,A,0,,,0
2,CRD_APR,MMK,9999999999999.000,,A,0,,,0
2,CRD_BLK,MMK,9999999999999.000,,A,0,,,0
2,CRD_CAS,MMK,9999999999999.000,,A,0,,,0
2,CRD_CDR,MMK,9999999999999.000,,A,0,,,0
2,CRD_CIPM,MMK,9999999999999.000,,A,0,,,0
2,CRD_CLA,MMK,9999999999999.000,,A,0,,,0
2,CRD_CLS,MMK,9999999999999.000,,A,0,,,0
2,CRD_EXT,MMK,9999999999999.000,,A,0,,,0
2,CRD_FCD,MMK,9999999999999.000,,A,0,,,0
2,CRD_FCG,MMK,9999999999999.000,,A,0,,,0
2,CRD_FOC,MMK,9999999999999.000,,A,0,,,0
2,CRD_FRG,MMK,9999999999999.000,,A,0,,,0
2,CRD_HIS,MMK,9999999999999.000,,A,0,,,0
2,CRD_IFC,MMK,9999999999999.000,,A,0,,,0
2,CRD_IPCT,MMK,9999999999999.000,,A,0,,,0
2,CRD_MDR,MMK,9999999999999.000,,A,0,,,0
2,CRD_MIPM,MMK,9999999999999.000,,A,0,,,0
2,CRD_NPL,MMK,9999999999999.000,,A,0,,,0
2,CRD_OPN,MMK,9999999999999.000,,A,0,,,0
2,CRD_PLA,MMK,9999999999999.000,,A,0,,,0
2,CRD_PLAD,MMK,9999999999999.000,,A,0,,,0
2,CRD_PLC,MMK,9999999999999.000,,A,0,,,0
2,CRD_PLO,MMK,9999999999999.000,,A,0,,,0
2,CRD_REJ,MMK,9999999999999.000,,A,0,,,0
2,CRD_RFC,MMK,9999999999999.000,,A,0,,,0
2,CRD_RFD,MMK,9999999999999.000,,A,0,,,0
2,CRD_RLS,MMK,9999999999999.000,,A,0,,,0
2,CRD_SPAD,MMK,9999999999999.000,,A,0,,,0
2,CRD_SPLA,MMK,9999999999999.000,,A,0,,,0
2,CRD_SPLC,MMK,9999999999999.000,,A,0,,,0
2,CRD_SPLO,MMK,9999999999999.000,,A,0,,,0
2,CRD_TDR,MMK,9999999999999.000,,A,0,,,0
2,CSH_ACT,MMK,9999999999999.000,,A,0,,,0
2,CSH_BMOV,MMK,9999999999999.000,,A,0,,,0
2,CSH_CSH,MMK,9999999999999.000,,A,0,,,0
2,CSH_DNM,MMK,9999999999999.000,,A,0,,,0
2,CSH_DPT,MMK,9999999999999.000,,A,0,,,0
2,CSH_MOV,MMK,9999999999999.000,,A,0,,,0
2,CTM_APR,MMK,9999999999999.000,,A,0,,,0
2,CTM_CAS,MMK,9999999999999.000,,A,0,,,0
2,DPT_ACT,MMK,9999999999999.000,,A,0,,,0
2,DPT_APR,MMK,9999999999999.000,,A,0,,,0
2,DPT_BLK,MMK,9999999999999.000,,A,0,,,0
2,DPT_CAS,MMK,9999999999999.000,,A,0,,,0
2,DPT_CCI,MMK,9999999999999.000,,A,0,,,0
2,DPT_CCR,MMK,9999999999999.000,,A,0,,,0
2,DPT_CCW,MMK,9999999999999.000,,A,0,,,0
2,DPT_CDP,MMK,9999999999999.000,,A,0,,,0
2,DPT_CDT,MMK,9999999999999.000,,A,0,,,0
2,DPT_CEI,MMK,9999999999999.000,,A,0,,,0
2,DPT_CER,MMK,9999999999999.000,,A,0,,,0
2,DPT_CIP,MMK,9999999999999.000,,A,0,,,0
2,DPT_CIQ,MMK,9999999999999.000,,A,0,,,0
2,DPT_CIS,MMK,9999999999999.000,,A,0,,,0
2,DPT_CLS,MMK,9999999999999.000,,A,0,,,0
2,DPT_COD,MMK,9999999999999.000,,A,0,,,0
2,DPT_COG,MMK,9999999999999.000,,A,0,,,0
2,DPT_CRT,MMK,9999999999999.000,,A,0,,,0
2,DPT_CSH,MMK,9999999999999.000,,A,0,,,0
2,DPT_CTS,MMK,9999999999999.000,,A,0,,,0
2,DPT_CWC,MMK,9999999999999.000,,A,0,,,0
2,DPT_CWM,MMK,9999999999999.000,,A,0,,,0
2,DPT_CWR,MMK,9999999999999.000,,A,0,,,0
2,DPT_DIP,MMK,9999999999999.000,,A,0,,,0
2,DPT_DLS,MMK,9999999999999.000,,A,0,,,0
2,DPT_DPT,MMK,9999999999999.000,,A,0,,,0
2,DPT_EMK,MMK,9999999999999.000,,A,0,,,0
2,DPT_ERL,MMK,9999999999999.000,,A,0,,,0
2,DPT_FBI,MMK,9999999999999.000,,A,0,,,0
2,DPT_FEE,MMK,9999999999999.000,,A,0,,,0
2,DPT_FOC,MMK,9999999999999.000,,A,0,,,0
2,DPT_HIS,MMK,9999999999999.000,,A,0,,,0
2,DPT_IFC,MMK,9999999999999.000,,A,0,,,0
2,DPT_MDP,MMK,9999999999999.000,,A,0,,,0
2,DPT_MIP,MMK,9999999999999.000,,A,0,,,0
2,DPT_MLS,MMK,9999999999999.000,,A,0,,,0
2,DPT_MWR,MMK,9999999999999.000,,A,0,,,0
2,DPT_ODA,MMK,9999999999999.000,,A,0,,,0
2,DPT_ODO,MMK,9999999999999.000,,A,0,,,0
2,DPT_OPAL,MMK,9999999999999.000,,A,0,,,0
2,DPT_OPN,MMK,9999999999999.000,,A,0,,,0
2,DPT_POI,MMK,9999999999999.000,,A,0,,,0
2,DPT_POW,MMK,9999999999999.000,,A,0,,,0
2,DPT_RCC,MMK,9999999999999.000,,A,0,,,0
2,DPT_REC,MMK,9999999999999.000,,A,0,,,0
2,DPT_REJ,MMK,9999999999999.000,,A,0,,,0
2,DPT_RLS,MMK,9999999999999.000,,A,0,,,0
2,DPT_RPO,MMK,9999999999999.000,,A,0,,,0
2,DPT_SAB,MMK,9999999999999.000,,A,0,,,0
2,DPT_SAT,MMK,9999999999999.000,,A,0,,,0
2,DPT_SBI,MMK,9999999999999.000,,A,0,,,0
2,DPT_SLS,MMK,9999999999999.000,,A,0,,,0
2,DPT_SRA,MMK,9999999999999.000,,A,0,,,0
2,DPT_SRG,MMK,9999999999999.000,,A,0,,,0
2,DPT_TRF,MMK,9999999999999.000,,A,0,,,0
2,FAC_CLS,MMK,9999999999999.000,,A,0,,,0
2,FAC_OPN,MMK,9999999999999.000,,A,0,,,0
2,FAC_PBC,MMK,9999999999999.000,,A,0,,,0
2,FAC_PBD,MMK,9999999999999.000,,A,0,,,0
2,FAC_PBG,MMK,9999999999999.000,,A,0,,,0
2,FAC_SBC,MMK,9999999999999.000,,A,0,,,0
2,FAC_SBD,MMK,9999999999999.000,,A,0,,,0
2,FAC_SBG,MMK,9999999999999.000,,A,0,,,0
2,FAC_TFB,MMK,9999999999999.000,,A,0,,,0
2,MTG_APR,MMK,9999999999999.000,,A,0,,,0
2,MTG_BLK,MMK,9999999999999.000,,A,0,,,0
2,MTG_BRL,MMK,9999999999999.000,,A,0,,,0
2,MTG_CLS,MMK,9999999999999.000,,A,0,,,0
2,MTG_DCR,MMK,9999999999999.000,,A,0,,,0
2,MTG_HDT,MMK,9999999999999.000,,A,0,,,0
2,MTG_INR,MMK,9999999999999.000,,A,0,,,0
2,MTG_OPN,MMK,9999999999999.000,,A,0,,,0
2,MTG_RLS,MMK,9999999999999.000,,A,0,,,0
2,MTG_RLS_OD,MMK,9999999999999.000,,A,0,,,0
2,MTG_RTN,MMK,9999999999999.000,,A,0,,,0
2,MTG_SCR,MMK,9999999999999.000,,A,0,,,0
2,MTG_SCR_OD,MMK,9999999999999.000,,A,0,,,0
2,PMT_IIT,MMK,9999999999999.000,,A,0,,,0
2,PMT_OIT,MMK,9999999999999.000,,A,0,,,0
2,PMT_OITT,MMK,9999999999999.000,,A,0,,,0
2,PMT_IITT,MMK,9999999999999.000,,A,0,,,0
2,PMT_KITT,MMK,9999999999999.000,,A,0,,,0
1,ACT_ACT,MMK,.000,,I,0,,,0
1,ACT_CSH,MMK,.000,,I,0,,,0
1,ACT_DPT,MMK,.000,,I,0,,,0
1,ACT_FEE,MMK,.000,,I,0,,,0
1,ACT_GFEE,MMK,.000,,I,0,,,0
1,ACT_MAN,MMK,.000,,I,0,,,0
1,ADM_FXD,MMK,.000,,I,0,,,0
1,CRD_APR,MMK,.000,,I,0,,,0
1,CRD_BLK,MMK,.000,,I,0,,,0
1,CRD_CAS,MMK,.000,,I,0,,,0
1,CRD_CDR,MMK,.000,,I,0,,,0
1,CRD_CIPM,MMK,.000,,I,0,,,0
1,CRD_CLA,MMK,.000,,I,0,,,0
1,CRD_CLS,MMK,.000,,I,0,,,0
1,CRD_EXT,MMK,.000,,I,0,,,0
1,CRD_FCD,MMK,.000,,I,0,,,0
1,CRD_FCG,MMK,.000,,I,0,,,0
1,CRD_FOC,MMK,.000,,I,0,,,0
1,CRD_FRG,MMK,.000,,I,0,,,0
1,CRD_HIS,MMK,.000,,I,0,,,0
1,CRD_IFC,MMK,.000,,I,0,,,0
1,CRD_IPCT,MMK,.000,,I,0,,,0
1,CRD_MDR,MMK,.000,,I,0,,,0
1,CRD_MIPM,MMK,.000,,I,0,,,0
1,CRD_NPL,MMK,.000,,I,0,,,0
1,CRD_OPN,MMK,.000,,I,0,,,0
1,CRD_PLA,MMK,.000,,I,0,,,0
1,CRD_PLAD,MMK,.000,,I,0,,,0
1,CRD_PLC,MMK,.000,,I,0,,,0
1,CRD_PLO,MMK,.000,,I,0,,,0
1,CRD_REJ,MMK,.000,,I,0,,,0
1,CRD_RFC,MMK,.000,,I,0,,,0
1,CRD_RFD,MMK,.000,,I,0,,,0
1,CRD_RLS,MMK,.000,,I,0,,,0
1,CRD_SPAD,MMK,.000,,I,0,,,0
1,CRD_SPLA,MMK,.000,,I,0,,,0
1,CRD_SPLC,MMK,.000,,I,0,,,0
1,CRD_SPLO,MMK,.000,,I,0,,,0
1,CRD_TDR,MMK,.000,,I,0,,,0
1,CSH_ACT,MMK,.000,,I,0,,,0
1,CSH_BMOV,MMK,.000,,I,0,,,0
1,CSH_CSH,MMK,.000,,I,0,,,0
1,CSH_DNM,MMK,.000,,I,0,,,0
1,CSH_DPT,MMK,.000,,I,0,,,0
1,CSH_MOV,MMK,.000,,I,0,,,0
1,CTM_APR,MMK,.000,,I,0,,,0
1,CTM_CAS,MMK,.000,,I,0,,,0
1,DPT_ACT,MMK,.000,,I,0,,,0
1,DPT_APR,MMK,.000,,I,0,,,0
1,DPT_BLK,MMK,.000,,I,0,,,0
1,DPT_CAS,MMK,.000,,I,0,,,0
1,DPT_CCI,MMK,.000,,I,0,,,0
1,DPT_CCR,MMK,.000,,I,0,,,0
1,DPT_CCW,MMK,.000,,I,0,,,0
1,DPT_CDP,MMK,.000,,I,0,,,0
1,DPT_CDT,MMK,.000,,I,0,,,0
