Database,Admin,Table,UserRight,,,,
RoleId,CommandId,CommandIdDetail,Invoke,Approve,UpdatedOnUtc,CreatedOnUtc,Id
2,001,A,1,1,,,0
2,002,A,1,1,,,0
2,003,A,1,1,,,0
2,004,A,1,1,,,0
2,005,A,1,1,,,0
2,006,A,1,1,,,0
2,007,A,1,1,,,0
2,010,A,1,1,,,0
2,011,A,1,1,,,0
2,012,A,1,1,,,0
2,013,A,1,1,,,0
2,014,A,1,1,,,0
2,015,A,1,1,,,0
2,016,A,1,1,,,0
2,017,A,1,1,,,0
2,018,A,1,1,,,0
2,020,A,1,1,,,0
2,ACT,A,1,1,,,0
2,ADM,A,1,1,,,0
2,CRD,A,1,1,,,0
2,CSH,A,1,1,,,0
2,CTM,A,1,1,,,0
2,DPT,A,1,1,,,0
2,FAC,A,1,1,,,0
2,MTG,A,1,1,,,0
2,PMT,A,1,1,,,0
2,003001,A,1,1,,,0
2,003002,A,1,1,,,0
2,003003,A,1,1,,,0
2,003005,A,1,1,,,0
2,003006,A,1,1,,,0
2,003007,A,1,1,,,0
2,SQL_SEARCH_CTM,A,1,1,,,0
2,SQL_ADSEARCH_CTM,A,1,1,,,0
2,SQL_INSERT_CTM,A,1,1,,,0
2,SQL_VIEW_CTM,A,1,1,,,0
2,SQL_UPDATE_CTM,A,1,1,,,0
2,SQL_DELETE_CTM,A,1,1,,,0
2,0030010005,A,1,1,,,0
2,0030010010,A,1,1,,,0
2,0030010019,A,0,0,,,0
2,SQL_SEARCH_CTMGRP,A,1,1,,,0
2,SQL_ADSEARCH_CTMGRP,A,1,1,,,0
2,SQL_INSERT_CTMGRP,A,1,1,,,0
2,SQL_VIEW_CTMGRP,A,1,1,,,0
2,SQL_UPDATE_CTMGRP,A,1,1,,,0
2,SQL_DELETE_CTMGRP,A,0,0,,,0
2,0030020005,A,1,1,,,0
2,0030020010,A,1,1,,,0
2,SQL_SEARCH_CTMLKG,A,1,1,,,0
2,SQL_ADSEARCH_CTMLKG,A,1,1,,,0
2,SQL_INSERT_CTMLKG,A,1,1,,,0
2,SQL_VIEW_CTMLKG,A,1,1,,,0
2,SQL_UPDATE_CTMLKG,A,1,1,,,0
2,SQL_DELETE_CTMLKG,A,0,0,,,0
2,0030030005,A,1,1,,,0
2,0030030010,A,1,1,,,0
2,SQL_SEARCH_MEDIA,A,1,1,,,0
2,SQL_VIEW_MEDIA,A,1,1,,,0
2,SQL_UPDATE_MEDIA,A,1,1,,,0
2,SQL_DELETE_MEDIA,A,1,1,,,0
2,0030050005,A,1,1,,,0
2,SQL_INSERT_MEDIA,A,1,1,,,0
2,SQL_APPROVE_MEDIA,A,1,1,,,0
2,0030060000,A,1,1,,,0
2,SQL_INSERT_CTMSCN,A,1,1,,,0
2,SQL_VIEW_CTMSCN,A,1,1,,,0
2,SQL_DELETE_CTMSCN,A,1,1,,,0
2,0030060005,A,1,1,,,0
2,0030060041,A,1,1,,,0
2,0030060042,A,1,1,,,0
2,SQL_SEARCH_APR,A,1,1,,,0
2,SQL_ADSEARCH_APR,A,1,1,,,0
2,SQL_VIEWBYCODE_CTM,A,1,1,,,0
2,SQL_VIEW_APR,A,1,1,,,0
2,SQL_CTM_APR,A,1,1,,,0
2,SQL_CTM_REJ,A,1,1,,,0
2,004001,A,1,1,,,0
2,004002,A,1,1,,,0
2,004004,A,1,1,,,0
2,IFC_SEARCH_IFC,A,1,1,,,0
2,IFC_ADSEARCH_IFC,A,1,1,,,0
2,IFC_INSERT_IFC,A,1,1,,,0
2,IFC_VIEW_IFC,A,1,1,,,0
2,IFC_UPDATE_IFC,A,1,1,,,0
2,IFC_DELETE_IFC,A,1,1,,,0
2,0040010005,A,1,1,,,0
2,0040010010,A,1,1,,,0
2,IFC_SEARCH_TARIFF,A,1,1,,,0
2,IFC_ADSEARCH_TARIFF,A,1,1,,,0
2,IFC_INSERT_TARIFF,A,1,1,,,0
2,IFC_VIEW_TARIFF,A,1,1,,,0
2,IFC_UPDATE_TARIFF,A,1,1,,,0
2,IFC_DELETE_TARIFF,A,1,1,,,0
2,0040020005,A,1,1,,,0
2,0040020010,A,1,1,,,0
2,IFC_SEARCH_IFCAUTOFEE,A,1,1,,,0
2,IFC_ADSEARCH_IFCAUTOFEE,A,1,1,,,0
2,IFC_INSERT_IFCAUTOFEE,A,1,1,,,0
2,IFC_VIEW_IFCAUTOFEE,A,1,1,,,0
2,IFC_UPDATE_IFCAUTOFEE,A,1,1,,,0
2,IFC_DELETE_IFCAUTOFEE,A,1,1,,,0
2,0040040005,A,1,1,,,0
2,0040040010,A,1,1,,,0
2,005001,A,1,1,,,0
2,005002,A,1,1,,,0
2,005003,A,1,1,,,0
2,005004,A,1,1,,,0
2,005005,A,0,0,,,0
2,005007,A,1,1,,,0
2,DPT_SEARCH_CATALOG,A,1,1,,,0
2,DPT_ADSEARCH_CATALOG,A,1,1,,,0
2,DPT_INSERT_CATALOG,A,1,1,,,0
2,DPT_VIEW_CATALOG,A,1,1,,,0
2,DPT_UPDATE_CATALOG,A,1,1,,,0
2,DPT_DELETE_CATALOG,A,1,1,,,0
2,0050010005,A,1,1,,,0
2,0050010010,A,1,1,,,0
2,DPT_SEARCH_DEPOSIT,A,1,1,,,0
2,DPT_ADSEARCH_DEPOSIT,A,1,1,,,0
2,DPT_INSERT_DEPOSIT,A,1,1,,,0
2,DPT_VIEW_DEPOSIT,A,1,1,,,0
2,DPT_UPDATE_DEPOSIT,A,1,1,,,0
2,DPT_DELETE_DEPOSIT,A,1,1,,,0
2,0050020005,A,1,1,,,0
