Database,Cash,Table,Denomination
CurrencyId,FaceValue,FaceType,FaceDescription,DisplayOrder,CreatedOnUtc,UpdatedOnUtc,Id
"MMK","1","A","1 Kyats","1","","","1"
"MMK","5","B","5 Kyats","2","","","2"
"MMK","10","C","10 Kyats","3","","","3"
"MMK","20","D","20 Kyats","4","","","4"
"MMK","50","E","50 Kyats","5","","","5"
"MMK","100","F","100 Kyats","6","","","6"
"MMK","200","G","200 Kyats","7","","","7"
"MMK","500","H","500 Kyats","8","","","8"
"MMK","1000","I","1000 Kyats","9","","","9"
"MMK","200","J","200 Kyats","10","","","10"
"MMK","500","K","500 Kyats","11","","","11"
"MMK","1000","L","1000 Kyats","12","","","12"
"MMK","5000","M","5000 Kyats","13","","","13"
"MMK","10000","X","10000 Kyats","14","","","14"
"MMK","5000","O","5000 Kyats","15","","","15"
"MMK","10000","P","10000 Kyats","16","","","16"
"MMK","50","Q","50 Kyats","17","","","17"
"MMK","100","R","100 Kyats","18","","","18"
"MMK","200","S","200 Kyats","19","","","19"
"MMK","500","T","500 Kyats","20","","","20"
"MMK","1000","U","1000 Kyats","21","","","21"
"MMK","5000","V","5000 Kyats","22","","","22"
"MMK","10000","W","10000 Kyats","23","","","23"
"USD","100","N","100 Dollar","1","","","24"
"USD","50","N","50 US Dollar","2","","","25"
"USD","20","N","20 US Dollar","3","","","26"
"USD","10","N","10 US Dollar","4","","","27"
"USD","5","N","5 US Dollar","5","","","28"
"USD","2","N","2 US Dollar","6","","","29"
"USD","1","N","1 US Dollar","7","","","30"
"EUR","500","N","500 Euro","1","","","31"
"EUR","200","N","200 Euro","2","","","32"
"EUR","100","N","100 Euro","3","","","33"
"EUR","50","N","50 Euro","4","","","34"
"EUR","20","N","20 Euro","5","","","35"
"EUR","10","N","10 Euro","6","","","36"
"EUR","5","N","5 Euro","7","","","37"
"THB","1000","N","1000 Baht","1","","","38"
"THB","500","N","500 Baht","2","","","39"
"THB","100","N","100 Baht","3","","","40"
"THB","50","N","50 Baht","4","","","41"
"THB","20","N","20 Baht","5","","","42"
"JPY","10000","N","10000 Yen","1","","","43"
"JPY","5000","N","5000 Yen","2","","","44"
"JPY","2000","N","2000 Yen","3","","","45"
"JPY","1000","N","1000 Yen","4","","","46"
"SGD","10000","N","10000 Singapore Dollar","1","","","47"
"SGD","1000","N","1000 Singapore Dollar","2","","","48"
"SGD","100","N","100 Singapore Dollar","3","","","49"
"SGD","50","N","50 Singapore Dollar","4","","","50"
"SGD","10","N","10 Singapore Dollar","5","","","51"
"SGD","5","N","5 Singapore Dollar","6","","","52"
"SGD","2","N","2 Singapore Dollar","7","","","53"
