Database,Credit,Table,IFCGLs
"IfcCode","SysAccountName","AccountAlias","Id"
"41","IFCC","---1100202010105**","1"
"43","IFCC","---1100202010105**","2"
"45","IFCC","---1100202010105**","3"
"46","IFCC","---1100202010105**","4"
"47","IFCC","---1100202010105**","5"
"48","IFCC","---1100202010105**","6"
"241","INTEREST0","###3010301040101**","7"
"241","PAID_INTEREST0","###3010301070101**","8"
"241","INTEREST1","###3010301010102**","9"
"241","PAID_INTEREST1","###3010601010102**","10"
"241","INTEREST2","###3010301010103**","11"
"241","PAID_INTEREST2","###3010701010101**","12"
"241","INTEREST3","###3010301020101**","13"
"241","INTEREST4","###3010301020102**","14"
"241","PAID_INTEREST_S","###3010701020101**","15"
"251","INTEREST0","###3010301040101**","16"
"251","PAID_INTEREST0","###3010301070101**","17"
"251","INTEREST1","###3010301010102**","18"
"251","PAID_INTEREST1","###3010601010102**","19"
"251","INTEREST2","###3010301010103**","20"
"251","PAID_INTEREST2","###3010701010101**","21"
"251","INTEREST3","###3010301020101**","22"
"251","INTEREST4","###3010301020102**","23"
"251","PAID_INTEREST_S","###3010701020101**","24"
"271","INTEREST0","###3010301040101**","25"
"271","PAID_INTEREST0","###3010301070101**","26"
"271","INTEREST1","###3010301010102**","27"
"271","PAID_INTEREST1","###3010601010102**","28"
"271","INTEREST2","###3010301010103**","29"
"271","PAID_INTEREST2","###3010701010101**","30"
"271","INTEREST3","###3010301020101**","31"
"271","INTEREST4","###3010301020102**","32"
"271","PAID_INTEREST_S","###3010701020101**","33"
"281","INTEREST0","###3010301040101**","34"
"281","PAID_INTEREST0","###3010301070101**","35"
"281","INTEREST1","###3010301010102**","36"
"281","PAID_INTEREST1","###3010601010102**","37"
"281","INTEREST2","###3010301010103**","38"
"281","PAID_INTEREST2","###3010701010101**","39"
"281","INTEREST3","###3010301020101**","40"
"281","INTEREST4","###3010301020102**","41"
"281","PAID_INTEREST_S","###3010701020101**","42"
"291","INTEREST0","###3010301040101**","43"
"291","PAID_INTEREST0","###3010301070101**","44"
"291","INTEREST1","###3010301010102**","45"
"291","PAID_INTEREST1","###3010601010102**","46"
"291","INTEREST2","###3010301010103**","47"
"291","PAID_INTEREST2","###3010701010101**","48"
"291","INTEREST3","###3010301020101**","49"
"291","INTEREST4","###3010301020102**","50"
"291","PAID_INTEREST_S","###3010701020101**","51"
"301","INTEREST0","###3010301040101**","52"
"301","PAID_INTEREST0","###3010301070101**","53"
"301","INTEREST1","###3010301010102**","54"
"301","PAID_INTEREST1","###3010601010102**","55"
"301","INTEREST2","###3010301010103**","56"
"301","PAID_INTEREST2","###3010701010101**","57"
"301","INTEREST3","###3010301020101**","58"
"301","INTEREST4","###3010301020102**","59"
"301","PAID_INTEREST_S","###3010701020101**","60"
"302","INTEREST0","###3010301040101**","61"
"302","PAID_INTEREST0","###3010301070101**","62"
"302","INTEREST1","###3010301010102**","63"
"302","PAID_INTEREST1","###3010601010102**","64"
"302","INTEREST2","###3010301010103**","65"
"302","PAID_INTEREST2","###3010701010101**","66"
"302","INTEREST3","###3010301020101**","67"
"302","INTEREST4","###3010301020102**","68"
"302","PAID_INTEREST_S","###3010701020101**","69"
"311","INTEREST0","###3010301040101**","70"
"311","PAID_INTEREST0","###3010301070101**","71"
"311","INTEREST1","###3010301010102**","72"
"311","PAID_INTEREST1","###3010601010102**","73"
"311","INTEREST2","###3010301010103**","74"
"311","PAID_INTEREST2","###3010701010101**","75"
"311","INTEREST3","###3010301020101**","76"
"311","INTEREST4","###3010301020102**","77"
"311","PAID_INTEREST_S","###3010701020101**","78"
"312","INTEREST0","###3010301040101**","79"
"312","PAID_INTEREST0","###3010301070101**","80"
"312","INTEREST1","###3010301010102**","81"
"312","PAID_INTEREST1","###3010601010102**","82"
"312","INTEREST2","###3010301010103**","83"
"312","PAID_INTEREST2","###3010701010101**","84"
"312","INTEREST3","###3010301020101**","85"
"312","INTEREST4","###3010301020102**","86"
"312","PAID_INTEREST_S","###3010701020101**","87"
"315","INTEREST0","###3010301040101**","88"
"315","PAID_INTEREST0","###3010301070101**","89"
"315","INTEREST1","###3010301010102**","90"
"315","PAID_INTEREST1","###3010601010102**","91"
"315","INTEREST2","###3010301010103**","92"
"315","PAID_INTEREST2","###3010701010101**","93"
"315","INTEREST3","###3010301020101**","94"
"315","INTEREST4","###3010301020102**","95"
"315","PAID_INTEREST_S","###3010701020101**","96"
"321","INTEREST0","###3010301040101**","97"
"321","PAID_INTEREST0","###3010301070101**","98"
"321","INTEREST1","###3010301010102**","99"
"321","PAID_INTEREST1","###3010601010102**","100"
"321","INTEREST2","###3010301010103**","101"
"321","PAID_INTEREST2","###3010701010101**","102"
"321","INTEREST3","###3010301020101**","103"
"321","INTEREST4","###3010301020102**","104"
"321","PAID_INTEREST_S","###3010701020101**","105"
"322","INTEREST0","###3010301040101**","106"
"322","PAID_INTEREST0","###3010301070101**","107"
"322","INTEREST1","###3010301010102**","108"
"322","PAID_INTEREST1","###3010601010102**","109"
"322","INTEREST2","###3010301010103**","110"
"322","PAID_INTEREST2","###3010701010101**","111"
"322","INTEREST3","###3010301020101**","112"
"322","INTEREST4","###3010301020102**","113"
"322","PAID_INTEREST_S","###3010701020101**","114"
"323","INTEREST0","###3010301040101**","115"
"323","PAID_INTEREST0","###3010301070101**","116"
"323","INTEREST1","###3010301010102**","117"
"323","PAID_INTEREST1","###3010601010102**","118"
"323","INTEREST2","###3010301010103**","119"
"323","PAID_INTEREST2","###3010701010101**","120"
"323","INTEREST3","###3010301020101**","121"
"323","INTEREST4","###3010301020102**","122"
"323","PAID_INTEREST_S","###3010701020101**","123"
"331","INTEREST0","###3010301040101**","124"
"331","PAID_INTEREST0","###3010301070101**","125"
"331","INTEREST1","###3010301010102**","126"
"331","PAID_INTEREST1","###3010601010102**","127"
"331","INTEREST2","###3010301010103**","128"
"331","PAID_INTEREST2","###3010701010101**","129"
"331","INTEREST3","###3010301020101**","130"
"331","INTEREST4","###3010301020102**","131"
"331","PAID_INTEREST_S","###3010701020101**","132"
"341","INTEREST0","###3010301040101**","133"
"341","PAID_INTEREST0","###3010301070101**","134"
"341","INTEREST1","###3010301010102**","135"
"341","PAID_INTEREST1","###3010601010102**","136"
"341","INTEREST2","###3010301010103**","137"
"341","PAID_INTEREST2","###3010701010101**","138"
"341","INTEREST3","###3010301020101**","139"
"341","INTEREST4","###3010301020102**","140"
"341","PAID_INTEREST_S","###3010701020101**","141"
"351","INTEREST0","###3010301040101**","142"
"351","PAID_INTEREST0","###3010301070101**","143"
"351","INTEREST1","###3010301010102**","144"
"351","PAID_INTEREST1","###3010601010102**","145"
"351","INTEREST2","###3010301010103**","146"
"351","PAID_INTEREST2","###3010701010101**","147"
"351","INTEREST3","###3010301020101**","148"
"351","INTEREST4","###3010301020102**","149"
"351","PAID_INTEREST_S","###3010701020101**","150"
"361","INTEREST0","###3010301040101**","151"
"361","PAID_INTEREST0","###3010301070101**","152"
"361","INTEREST1","###3010301010102**","153"
"361","PAID_INTEREST1","###3010601010102**","154"
"361","INTEREST2","###3010301010103**","155"
"361","PAID_INTEREST2","###3010701010101**","156"
"361","INTEREST3","###3010301020101**","157"
"361","INTEREST4","###3010301020102**","158"
"361","PAID_INTEREST_S","###3010701020101**","159"
"371","INTEREST0","###3010301040101**","160"
"371","PAID_INTEREST0","###3010301070101**","161"
"371","INTEREST1","###3010301010102**","162"
"371","PAID_INTEREST1","###3010601010102**","163"
"371","INTEREST2","###3010301010103**","164"
"371","PAID_INTEREST2","###3010701010101**","165"
"371","INTEREST3","###3010301020101**","166"
"371","INTEREST4","###3010301020102**","167"
"371","PAID_INTEREST_S","###3010701020101**","168"
"381","INTEREST0","###3010301040101**","169"
"381","PAID_INTEREST0","###3010301070101**","170"
"381","INTEREST1","###3010301010102**","171"
"381","PAID_INTEREST1","###3010601010102**","172"
"381","INTEREST2","###3010301010103**","173"
"381","PAID_INTEREST2","###3010701010101**","174"
"381","INTEREST3","###3010301020101**","175"
"381","INTEREST4","###3010301020102**","176"
"381","PAID_INTEREST_S","###3010701020101**","177"
"391","INTEREST0","###3010301040101**","178"
"391","PAID_INTEREST0","###3010301070101**","179"
"391","INTEREST1","###3010301010102**","180"
"391","PAID_INTEREST1","###3010601010102**","181"
"391","INTEREST2","###3010301010103**","182"
"391","PAID_INTEREST2","###3010701010101**","183"
"391","INTEREST3","###3010301020101**","184"
"391","INTEREST4","###3010301020102**","185"
"391","PAID_INTEREST_S","###3010701020101**","186"
"232","PENALTY_PRIN0","###3030101000001**","187"
"232","PAID_PENALTY_PRIN0","###3030201000001**","188"
"232","PENALTY_PRIN1","###3030101000002**","189"
"232","PAID_PENALTY_PRIN1","###3030201000002**","190"
"232","PENALTY_PRIN2","###3030101000003**","191"
"232","PAID_PENALTY_PRIN2","###3030201000003**","192"
"232","PENALTY_PRIN3","###3030101000004**","193"
"232","PENALTY_PRIN4","###3030101000005**","194"
"232","PAID_PENALTY_PRIN_S","###3030201000005**","195"
"242","PENALTY_PRIN0","###3030101000001**","196"
"242","PAID_PENALTY_PRIN0","###3030201000001**","197"
"242","PENALTY_PRIN1","###3030101000002**","198"
"242","PAID_PENALTY_PRIN1","###3030201000002**","199"
"242","PENALTY_PRIN2","###3030101000003**","200"
"242","PAID_PENALTY_PRIN2","###3030201000003**","201"
"242","PENALTY_PRIN3","###3030101000004**","202"
"242","PENALTY_PRIN4","###3030101000005**","203"
"242","PAID_PENALTY_PRIN_S","###3030201000005**","204"
"252","PENALTY_PRIN0","###3030101000001**","205"
"252","PAID_PENALTY_PRIN0","###3030201000001**","206"
"252","PENALTY_PRIN1","###3030101000002**","207"
"252","PAID_PENALTY_PRIN1","###3030201000002**","208"
"252","PENALTY_PRIN2","###3030101000003**","209"
"252","PAID_PENALTY_PRIN2","###3030201000003**","210"
"252","PENALTY_PRIN3","###3030101000004**","211"
"252","PENALTY_PRIN4","###3030101000005**","212"
"252","PAID_PENALTY_PRIN_S","###3030201000005**","213"
"262","PENALTY_PRIN0","###3030101000001**","214"
"262","PAID_PENALTY_PRIN0","###3030201000001**","215"
"262","PENALTY_PRIN1","###3030101000002**","216"
"262","PAID_PENALTY_PRIN1","###3030201000002**","217"
"262","PENALTY_PRIN2","###3030101000003**","218"
"262","PAID_PENALTY_PRIN2","###3030201000003**","219"
"262","PENALTY_PRIN3","###3030101000004**","220"
"262","PENALTY_PRIN4","###3030101000005**","221"
"262","PAID_PENALTY_PRIN_S","###3030201000005**","222"
"272","PENALTY_PRIN0","###3030101000001**","223"
"272","PAID_PENALTY_PRIN0","###3030201000001**","224"
"272","PENALTY_PRIN1","###3030101000002**","225"
"272","PAID_PENALTY_PRIN1","###3030201000002**","226"
"272","PENALTY_PRIN2","###3030101000003**","227"
"272","PAID_PENALTY_PRIN2","###3030201000003**","228"
"272","PENALTY_PRIN3","###3030101000004**","229"
"272","PENALTY_PRIN4","###3030101000005**","230"
"272","PAID_PENALTY_PRIN_S","###3030201000005**","231"
"282","PENALTY_PRIN0","###3030101000001**","232"
"282","PAID_PENALTY_PRIN0","###3030201000001**","233"
"282","PENALTY_PRIN1","###3030101000002**","234"
"282","PAID_PENALTY_PRIN1","###3030201000002**","235"
"282","PENALTY_PRIN2","###3030101000003**","236"
"282","PAID_PENALTY_PRIN2","###3030201000003**","237"
"282","PENALTY_PRIN3","###3030101000004**","238"
"282","PENALTY_PRIN4","###3030101000005**","239"
"282","PAID_PENALTY_PRIN_S","###3030201000005**","240"
"292","PENALTY_PRIN0","###3030101000001**","241"
"292","PAID_PENALTY_PRIN0","###3030201000001**","242"
"292","PENALTY_PRIN1","###3030101000002**","243"
"292","PAID_PENALTY_PRIN1","###3030201000002**","244"
"292","PENALTY_PRIN2","###3030101000003**","245"
"292","PAID_PENALTY_PRIN2","###3030201000003**","246"
"292","PENALTY_PRIN3","###3030101000004**","247"
"292","PENALTY_PRIN4","###3030101000005**","248"
"292","PAID_PENALTY_PRIN_S","###3030201000005**","249"
"304","PENALTY_PRIN0","###3030101000001**","250"
"304","PAID_PENALTY_PRIN0","###3030201000001**","251"
"304","PENALTY_PRIN1","###3030101000002**","252"
"304","PAID_PENALTY_PRIN1","###3030201000002**","253"
"304","PENALTY_PRIN2","###3030101000003**","254"
"304","PAID_PENALTY_PRIN2","###3030201000003**","255"
"304","PENALTY_PRIN3","###3030101000004**","256"
"304","PENALTY_PRIN4","###3030101000005**","257"
"304","PAID_PENALTY_PRIN_S","###3030201000005**","258"
"314","PENALTY_PRIN0","###3030101000001**","259"
"314","PAID_PENALTY_PRIN0","###3030201000001**","260"
"314","PENALTY_PRIN1","###3030101000002**","261"
"314","PAID_PENALTY_PRIN1","###3030201000002**","262"
"314","PENALTY_PRIN2","###3030101000003**","263"
"314","PAID_PENALTY_PRIN2","###3030201000003**","264"
"314","PENALTY_PRIN3","###3030101000004**","265"
"314","PENALTY_PRIN4","###3030101000005**","266"
"314","PAID_PENALTY_PRIN_S","###3030201000005**","267"
"324","PENALTY_PRIN0","###3030101000001**","268"
"324","PAID_PENALTY_PRIN0","###3030201000001**","269"
"324","PENALTY_PRIN1","###3030101000002**","270"
"324","PAID_PENALTY_PRIN1","###3030201000002**","271"
"324","PENALTY_PRIN2","###3030101000003**","272"
"324","PAID_PENALTY_PRIN2","###3030201000003**","273"
"324","PENALTY_PRIN3","###3030101000004**","274"
"324","PENALTY_PRIN4","###3030101000005**","275"
"324","PAID_PENALTY_PRIN_S","###3030201000005**","276"
"332","PENALTY_PRIN0","###3030101000001**","277"
"332","PAID_PENALTY_PRIN0","###3030201000001**","278"
"332","PENALTY_PRIN1","###3030101000002**","279"
"332","PAID_PENALTY_PRIN1","###3030201000002**","280"
"332","PENALTY_PRIN2","###3030101000003**","281"
"332","PAID_PENALTY_PRIN2","###3030201000003**","282"
"332","PENALTY_PRIN3","###3030101000004**","283"
"332","PENALTY_PRIN4","###3030101000005**","284"
"332","PAID_PENALTY_PRIN_S","###3030201000005**","285"
"343","PENALTY_PRIN0","###3030101000001**","286"
"343","PAID_PENALTY_PRIN0","###3030201000001**","287"
"343","PENALTY_PRIN1","###3030101000002**","288"
"343","PAID_PENALTY_PRIN1","###3030201000002**","289"
"343","PENALTY_PRIN2","###3030101000003**","290"
"343","PAID_PENALTY_PRIN2","###3030201000003**","291"
"343","PENALTY_PRIN3","###3030101000004**","292"
"343","PENALTY_PRIN4","###3030101000005**","293"
"343","PAID_PENALTY_PRIN_S","###3030201000005**","294"
"353","PENALTY_PRIN0","###3030101000001**","295"
"353","PAID_PENALTY_PRIN0","###3030201000001**","296"
"353","PENALTY_PRIN1","###3030101000002**","297"
"353","PAID_PENALTY_PRIN1","###3030201000002**","298"
"353","PENALTY_PRIN2","###3030101000003**","299"
"353","PAID_PENALTY_PRIN2","###3030201000003**","300"
"353","PENALTY_PRIN3","###3030101000004**","301"
"353","PENALTY_PRIN4","###3030101000005**","302"
"353","PAID_PENALTY_PRIN_S","###3030201000005**","303"
"362","PENALTY_PRIN0","###3030101000001**","304"
"362","PAID_PENALTY_PRIN0","###3030201000001**","305"
"362","PENALTY_PRIN1","###3030101000002**","306"
"362","PAID_PENALTY_PRIN1","###3030201000002**","307"
"362","PENALTY_PRIN2","###3030101000003**","308"
"362","PAID_PENALTY_PRIN2","###3030201000003**","309"
"362","PENALTY_PRIN3","###3030101000004**","310"
"362","PENALTY_PRIN4","###3030101000005**","311"
"362","PAID_PENALTY_PRIN_S","###3030201000005**","312"
"382","PENALTY_PRIN0","###3030101000001**","313"
"382","PAID_PENALTY_PRIN0","###3030201000001**","314"
"382","PENALTY_PRIN1","###3030101000002**","315"
"382","PAID_PENALTY_PRIN1","###3030201000002**","316"
"382","PENALTY_PRIN2","###3030101000003**","317"
"382","PAID_PENALTY_PRIN2","###3030201000003**","318"
"382","PENALTY_PRIN3","###3030101000004**","319"
"382","PENALTY_PRIN4","###3030101000005**","320"
"382","PAID_PENALTY_PRIN_S","###3030201000005**","321"
"393","PENALTY_PRIN0","###3030101000001**","322"
"393","PAID_PENALTY_PRIN0","###3030201000001**","323"
"393","PENALTY_PRIN1","###3030101000002**","324"
"393","PAID_PENALTY_PRIN1","###3030201000002**","325"
"393","PENALTY_PRIN2","###3030101000003**","326"
"393","PAID_PENALTY_PRIN2","###3030201000003**","327"
"393","PENALTY_PRIN3","###3030101000004**","328"
"393","PENALTY_PRIN4","###3030101000005**","329"
"393","PAID_PENALTY_PRIN_S","###3030201000005**","330"
"233","PENALTY_INT1","###3030201000007**","331"
"233","PAID_PENALTY_INT1","###3030201000012**","332"
"233","PENALTY_INT0","###3030201000006**","333"
"233","PAID_PENALTY_INT0","###3030201000011**","334"
"233","PENALTY_INT2","###3030201000008**","335"
"233","PAID_PENALTY_INT2","###3030301000001**","336"
"233","PENALTY_INT3","###3030201000009**","337"
"233","PENALTY_INT4","###3030201000010**","338"
"233","PAID_PENALTY_INT_S","###3030301000004**","339"
"243","PENALTY_INT1","###3030201000007**","340"
"243","PAID_PENALTY_INT1","###3030201000012**","341"
"243","PENALTY_INT0","###3030201000006**","342"
"243","PAID_PENALTY_INT0","###3030201000011**","343"
"243","PENALTY_INT2","###3030201000008**","344"
"243","PAID_PENALTY_INT2","###3030301000001**","345"
"243","PENALTY_INT3","###3030201000009**","346"
"243","PENALTY_INT4","###3030201000010**","347"
"243","PAID_PENALTY_INT_S","###3030301000004**","348"
"253","PENALTY_INT1","###3030201000007**","349"
"253","PAID_PENALTY_INT1","###3030201000012**","350"
"253","PENALTY_INT0","###3030201000006**","351"
"253","PAID_PENALTY_INT0","###3030201000011**","352"
"253","PENALTY_INT2","###3030201000008**","353"
"253","PAID_PENALTY_INT2","###3030301000001**","354"
"253","PENALTY_INT3","###3030201000009**","355"
"253","PENALTY_INT4","###3030201000010**","356"
"253","PAID_PENALTY_INT_S","###3030301000004**","357"
"263","PENALTY_INT1","###3030201000007**","358"
"263","PAID_PENALTY_INT1","###3030201000012**","359"
"263","PENALTY_INT0","###3030201000006**","360"
"263","PAID_PENALTY_INT0","###3030201000011**","361"
"263","PENALTY_INT2","###3030201000008**","362"
"263","PAID_PENALTY_INT2","###3030301000001**","363"
"263","PENALTY_INT3","###3030201000009**","364"
"263","PENALTY_INT4","###3030201000010**","365"
"263","PAID_PENALTY_INT_S","###3030301000004**","366"
"273","PENALTY_INT1","###3030201000007**","367"
"273","PAID_PENALTY_INT1","###3030201000012**","368"
"273","PENALTY_INT0","###3030201000006**","369"
"273","PAID_PENALTY_INT0","###3030201000011**","370"
"273","PENALTY_INT2","###3030201000008**","371"
"273","PAID_PENALTY_INT2","###3030301000001**","372"
"273","PENALTY_INT3","###3030201000009**","373"
"273","PENALTY_INT4","###3030201000010**","374"
"273","PAID_PENALTY_INT_S","###3030301000004**","375"
"283","PENALTY_INT1","###3030201000007**","376"
"283","PAID_PENALTY_INT1","###3030201000012**","377"
"283","PENALTY_INT0","###3030201000006**","378"
"283","PAID_PENALTY_INT0","###3030201000011**","379"
"283","PENALTY_INT2","###3030201000008**","380"
"283","PAID_PENALTY_INT2","###3030301000001**","381"
"283","PENALTY_INT3","###3030201000009**","382"
"283","PENALTY_INT4","###3030201000010**","383"
"283","PAID_PENALTY_INT_S","###3030301000004**","384"
"303","PENALTY_INT1","###3030201000007**","385"
"303","PAID_PENALTY_INT1","###3030201000012**","386"
"303","PENALTY_INT0","###3030201000006**","387"
"303","PAID_PENALTY_INT0","###3030201000011**","388"
"303","PENALTY_INT2","###3030201000008**","389"
"303","PAID_PENALTY_INT2","###3030301000001**","390"
"303","PENALTY_INT3","###3030201000009**","391"
"303","PENALTY_INT4","###3030201000010**","392"
"303","PAID_PENALTY_INT_S","###3030301000004**","393"
"313","PENALTY_INT1","###3030201000007**","394"
"313","PAID_PENALTY_INT1","###3030201000012**","395"
"313","PENALTY_INT0","###3030201000006**","396"
"313","PAID_PENALTY_INT0","###3030201000011**","397"
"313","PENALTY_INT2","###3030201000008**","398"
"313","PAID_PENALTY_INT2","###3030301000001**","399"
"313","PENALTY_INT3","###3030201000009**","400"
"313","PENALTY_INT4","###3030201000010**","401"
"313","PAID_PENALTY_INT_S","###3030301000004**","402"
"342","PENALTY_INT1","###3030201000007**","403"
"342","PAID_PENALTY_INT1","###3030201000012**","404"
"342","PENALTY_INT0","###3030201000006**","405"
"342","PAID_PENALTY_INT0","###3030201000011**","406"
"342","PENALTY_INT2","###3030201000008**","407"
"342","PAID_PENALTY_INT2","###3030301000001**","408"
"342","PENALTY_INT3","###3030201000009**","409"
"342","PENALTY_INT4","###3030201000010**","410"
"342","PAID_PENALTY_INT_S","###3030301000004**","411"
"352","PENALTY_INT1","###3030201000007**","412"
"352","PAID_PENALTY_INT1","###3030201000012**","413"
"352","PENALTY_INT0","###3030201000006**","414"
"352","PAID_PENALTY_INT0","###3030201000011**","415"
"352","PENALTY_INT2","###3030201000008**","416"
"352","PAID_PENALTY_INT2","###3030301000001**","417"
"352","PENALTY_INT3","###3030201000009**","418"
"352","PENALTY_INT4","###3030201000010**","419"
"352","PAID_PENALTY_INT_S","###3030301000004**","420"
"363","PENALTY_INT1","###3030201000007**","421"
"363","PAID_PENALTY_INT1","###3030201000012**","422"
"363","PENALTY_INT0","###3030201000006**","423"
"363","PAID_PENALTY_INT0","###3030201000011**","424"
"363","PENALTY_INT2","###3030201000008**","425"
"363","PAID_PENALTY_INT2","###3030301000001**","426"
"363","PENALTY_INT3","###3030201000009**","427"
"363","PENALTY_INT4","###3030201000010**","428"
"363","PAID_PENALTY_INT_S","###3030301000004**","429"
"383","PENALTY_INT1","###3030201000007**","430"
"383","PAID_PENALTY_INT1","###3030201000012**","431"
"383","PENALTY_INT0","###3030201000006**","432"
"383","PAID_PENALTY_INT0","###3030201000011**","433"
"383","PENALTY_INT2","###3030201000008**","434"
"383","PAID_PENALTY_INT2","###3030301000001**","435"
"383","PENALTY_INT3","###3030201000009**","436"
"383","PENALTY_INT4","###3030201000010**","437"
"383","PAID_PENALTY_INT_S","###3030301000004**","438"
"392","PENALTY_INT1","###3030201000007**","439"
"392","PAID_PENALTY_INT1","###3030201000012**","440"
"392","PENALTY_INT0","###3030201000006**","441"
"392","PAID_PENALTY_INT0","###3030201000011**","442"
"392","PENALTY_INT2","###3030201000008**","443"
"392","PAID_PENALTY_INT2","###3030301000001**","444"
"392","PENALTY_INT3","###3030201000009**","445"
"392","PENALTY_INT4","###3030201000010**","446"
"392","PAID_PENALTY_INT_S","###3030301000004**","447"
"42","IFCC","###1100202010105**","448"
"372","PAID_PENALTY_PRIN_S","###3030201000005**","449"
"372","PAID_PENALTY_PRIN0","###3030201000001**","450"
"372","PAID_PENALTY_PRIN1","###3030201000002**","451"
"372","PAID_PENALTY_PRIN2","###3030201000003**","452"
"372","PENALTY_PRIN0","###3030101000001**","453"
"372","PENALTY_PRIN1","###3030101000002**","454"
"372","PENALTY_PRIN2","###3030101000003**","455"
"372","PENALTY_PRIN3","###3030101000004**","456"
"372","PENALTY_PRIN4","###3030101000005**","457"
"372","PAID_PENALTY_PRIN3","###3030201000004**","458"
"372","PAID_PENALTY_PRIN4","###30302010000041**","459"
"373","PAID_PENALTY_INT_S","###3030301000004**","460"
"373","PAID_PENALTY_INT0","###3030201000011**","461"
"373","PAID_PENALTY_INT1","###3030201000012**","462"
"373","PAID_PENALTY_INT2","###3030301000001**","463"
"373","PENALTY_INT0","###3030201000006**","464"
"373","PENALTY_INT1","###3030201000007**","465"
"373","PENALTY_INT2","###3030201000008**","466"
"373","PENALTY_INT3","###3030201000009**","467"
"373","PENALTY_INT4","###3030201000010**","468"
"373","PAID_PENALTY_INT3","###3030301000002**","469"
"373","PAID_PENALTY_INT4","###3030301000003**","470"
"231","INTEREST0","###3010301040101**","471"
"231","INTEREST1","###3010301010102**","472"
"231","INTEREST2","###3010301010103**","473"
"231","INTEREST3","###3010301020101**","474"
"231","INTEREST4","###3010301020102**","475"
"231","PAID_INTEREST_S","###3010701020101**","476"
"231","PAID_INTEREST0","###3010301070101**","477"
"231","PAID_INTEREST1","###3010601010102**","478"
"231","PAID_INTEREST2","###3010701010101**","479"
"231","PAID_INTEREST3","###3010701010102**","480"
"231","PAID_INTEREST4","###3010701010103**","481"
"40","IFCC","---1100202010105**","482"
"65","IFCC","---1100202010105**","484"
"66","PAID_PENALTY_PRIN_S","###3030201000005**","485"
"66","PAID_PENALTY_PRIN0","###3030201000001**","486"
"67","IFCC","---1100202010105**","487"
"64","IFCC","###1100202010105**","488"
"261","INTEREST0","###3010301040101**","489"
"261","INTEREST1","###3010301010102**","490"
"261","INTEREST2","###3010301010103**","491"
"261","INTEREST3","###3010301020101**","492"
"261","INTEREST4","###3010301020102**","493"
"261","PAID_INTEREST_S","###3010701020101**","494"
"261","PAID_INTEREST0","###3010301070101**","495"
"261","PAID_INTEREST1","###3010601010102**","496"
"261","PAID_INTEREST2","###3010701010101**","497"
"74","INTEREST0","###3010301040101**","518"
"74","INTEREST1","###3010301010102**","519"
"74","INTEREST2","###3010301010103**","520"
"74","INTEREST3","###3010301020101**","521"
"74","INTEREST4","###3010301020102**","522"
"74","PAID_INTEREST_S","###3010701020101**","523"
"74","PAID_INTEREST0","###3010301070101**","524"
"74","PAID_INTEREST1","###3010601010102**","525"
"74","PAID_INTEREST2","###3010701010101**","526"
"74","PAID_INTEREST3","###3010701010102**","527"
"74","PAID_INTEREST4","###3010701010103**","528"
"75","INTEREST0","###3010301040101**","529"
"75","INTEREST1","###3010301010102**","530"
"75","INTEREST2","###3010301010103**","531"
"75","INTEREST3","###3010301020101**","532"
"75","INTEREST4","###3010301020102**","533"
"75","PAID_INTEREST_S","###3010701020101**","534"
"75","PAID_INTEREST0","###3010301070101**","535"
"75","PAID_INTEREST1","###3010601010102**","536"
"75","PAID_INTEREST2","###3010701010101**","537"
"75","PAID_INTEREST3","###3010701010102**","538"
"75","PAID_INTEREST4","###3010701010103**","539"
"78","INTEREST0","###3010301040101**","540"
"78","INTEREST1","###3010301010102**","541"
"78","INTEREST2","###3010301010103**","542"
"78","INTEREST3","###3010301020101**","543"
"78","INTEREST4","###3010301020102**","544"
"78","PAID_INTEREST_S","###3010701020101**","545"
"78","PAID_INTEREST0","###3010301070101**","546"
"78","PAID_INTEREST1","###3010601010102**","547"
"78","PAID_INTEREST2","###3010701010101**","548"
