Database,Deposit,Table,DepositCatalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CatalogCode,CatalogName,CurrencyCode,SecureCurrency,DepositTenor,DepositTenorUnit,Tenor,TenorUnit,Tenor2,TenorUnit2,InterestTenorUnit,InterestTenor,InitalDepostAmount,PeriodicDepositAmount,PeriodicDepositTenor,PeriodicDepositTenorUnit,MinimumDepositAmount,MinimumTenor,MinimumTenorUnit,MultiDeposit,MultiWithdraw,EarlyWithdraw,MinimumTenorAllowEarlyWithdrawal,MinimumTenorAllowEarlyWithdrawalUnit,CreditInterest,CreditInterestTenor,CreditInterestTenorUnit,CreditingInterest,Intacrrt,DepositType,DepositSubType,DepositGroup,DepositPurpose,DepositClassification,DormantPeriod,DormantPeriodUnit,Rollover,RolloverToCatalog,InterestDueOnHoliday,PrincipalDueOnHoliday,PassbookOrStatementOrReceipt,StatementTenor,StatementTenorUnit,StatementFormat,UserCreated,UserApproved,CatalogStatus,MinimumDormantAmount,DebitWith,CreditWith,CreatedOnUtc,UpdatedOnUtc,Id
CAMMK0000,Current account in MMK,MMK,MMK,0,M,0,M,0,D,L,0,1000,0,0,,0,0,D,Y,Y,N,0,D,N,1,D,0,100,C,C1,1,P,N,1095,D,N,,0,0,S,1,M,E,1,0,N,0,,,,,0
CAUSD0000,Current account in USD,USD,USD,0,M,0,M,0,D,L,0,100,0,0,,0,0,D,Y,Y,N,0,D,N,1,D,0,100,C,C2,1,P,N,1095,D,N,,0,0,S,1,M,E,1,0,N,0,,,,,0
CAEUR0000,Current account in EUR,EUR,EUR,0,M,0,M,0,D,L,0,100,0,0,,0,0,D,Y,Y,N,0,D,N,1,D,0,100,C,C2,1,P,N,1095,D,N,,0,0,S,1,M,E,1,0,N,0,,,,,0
CASGD0000,Current account in SGD,SGD,SGD,0,M,0,M,0,D,L,0,100,0,0,,0,0,D,Y,Y,N,0,D,N,1,D,0,100,C,C2,1,P,N,1095,D,N,,0,0,S,1,M,E,1,0,N,0,,,,,0
SAMMK0000,Savings account in MMK,MMK,MMK,0,M,0,M,0,D,M,1,1000,0,0,,1000,0,D,Y,Y,N,0,D,Y,1,M,0,100,S,S1,1,P,N,1095,D,N,,0,0,P,1,M,E,1,0,N,0,,,,,0
PSMMK0000,Premier savings deposit account in MMK,MMK,MMK,0,M,0,M,0,D,M,1,100000,0,0,,50000,0,D,Y,Y,N,0,D,Y,1,M,0,100,S,S3,1,P,N,1095,D,N,,0,0,P,1,M,E,1,0,N,0,,,,,0
BSMMK0000,Bonus savings account  in MMK,MMK,MMK,0,M,0,M,0,D,M,1,100000,0,0,,50000,0,D,Y,Y,N,0,D,Y,1,M,0,100,S,S2,1,P,N,1095,D,N,,0,0,P,1,M,E,1,0,N,0,,,,,0
CDMMK0000,Call deposit account in MMK,MMK,MMK,0,M,0,M,0,D,M,1,10000,0,0,,1000,0,D,Y,Y,N,0,D,Y,1,D,0,100,S,S4,1,P,N,1095,D,N,,0,0,P,1,M,E,1,0,N,0,,,,,0
FD01NRMMK,Fixed deposit 1 months (No rollover) in MMK,MMK,MMK,0,M,1,M,0,D,L,0,50000,0,0,,0,0,D,N,N,R,1,M,Y,1,D,0,100,T,T1,1,S,N,1095,D,N,,0,0,P,1,M,E,1,0,N,0,,,,,0
FD01PIMMK,Fixed deposit 1 months (Principal plus interest rollover) in MMK,MMK,MMK,0,M,1,M,0,D,L,0,50000,0,0,,0,0,D,N,N,R,1,M,Y,1,D,0,100,T,T1,1,S,N,1095,D,A,,0,0,P,1,M,E,1,0,N,0,,,,,0
FD01POMMK,Fixed deposit 1 months (Principal rollover only) in MMK,MMK,MMK,0,M,1,M,0,D,L,0,50000,0,0,,0,0,D,N,N,R,1,M,Y,1,D,0,100,T,T1,1,S,N,1095,D,P,,0,0,P,1,M,E,1,0,N,0,,,,,0
FD12NRMMK,Fixed deposit 12 months (No rollover) in MMK,MMK,MMK,0,M,12,M,0,D,L,0,50000,0,0,,0,0,D,N,N,R,1,M,Y,1,D,0,100,T,T5,1,S,N,1095,D,N,,0,0,P,1,M,E,1,0,N,0,,,,,0
FD12PIMMK,Fixed deposit 12 months (Principal plus interest rollover) in MMK,MMK,MMK,0,M,12,M,0,D,L,0,50000,0,0,,0,0,D,N,N,R,1,M,Y,1,D,0,100,T,T5,1,S,N,1095,D,A,,0,0,P,1,M,E,1,0,N,0,,,,,0
FD12POMMK,Fixed deposit 12 months (Principal rollover only) in MMK,MMK,MMK,0,M,12,M,0,D,L,0,50000,0,0,,0,0,D,N,N,R,1,M,Y,1,D,0,100,T,T5,1,S,N,1095,D,P,,0,0,P,1,M,E,1,0,N,0,,,,,0
