Database,Deposit,Table,DepositCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
CAUSD0000,DEPOSIT,,###2020101010113**,0
CAEUR0000,DEPOSIT,,###2020101010113**,0
CASGD0000,DEPOSIT,,###2020101010113**,0
SAMMK0000,DEPOSIT,,###2020101010113**,0
PSMMK0000,DEPOSIT,,###2020101010113**,0
BSMMK0000,DEPOSIT,,###2020101010113**,0
CDMMK0000,DEPOSIT,,###2020101010113**,0
FD01NRMMK,DEPOSIT,,###2020101010113**,0
FD01PIMMK,DEPOSIT,,###2020101010113**,0
FD01POMMK,DEPOSIT,,###2020101010113**,0
FD12NRMMK,DEPOSIT,,###2020101010113**,0
FD12PIMMK,DEPOSIT,,###2020101010113**,0
FD12POMMK,DEPOSIT,,###2020101010113**,0
FD03NRMMK,DEPOSIT,,###2020101010113**,0
FD03PIMMK,DEPOSIT,,###2020101010113**,0
FD03POMMK,DEPOSIT,,###2020101010113**,0
FD06NRMMK,DEPOSIT,,###2020101010113**,0
FD06PIMMK,DEPOSIT,,###2020101010113**,0
FD06POMMK,DEPOSIT,,###2020101010113**,0
FD09NRMMK,DEPOSIT,,###2020101010113**,0
FD09PIMMK,DEPOSIT,,###2020101010113**,0
FD09POMMK,DEPOSIT,,###2020101010113**,0
CAMMK0000,DEPOSIT,,###2020101010113**,0
PR120MMK0,DEPOSIT,,###2020101010113**,0
PR120MMK1,DEPOSIT,,###2020101010113**,0
PCMMK0000,DEPOSIT,,###2020101010113**,0
FIX3MNORO,DEPOSIT,,###2020101010113**,0
SCMMK0000,DEPOSIT,,###2020101010113**,0
