Database,Deposit,Table,DepositCatalogGLs
"CatalogCode","SysAccountName","COAAccount","AccountAlias","Id"
"CAEUR0000","DEPOSIT","","###2020301010101**","2"
"CASGD0000","DEPOSIT","","###2020301010101**","3"
"SAMMK0000","DEPOSIT","","###2020101010113**","4"
"PSMMK0000","DEPOSIT","","###2020101010113**","5"
"BSMMK0000","DEPOSIT","","###2020101010113**","6"
"CDMMK0000","DEPOSIT","","###2020101010113**","7"
"FD01NRMMK","DEPOSIT","","###2020101010113**","8"
"FD01PIMMK","DEPOSIT","","###2020101010113**","9"
"FD01POMMK","DEPOSIT","","###2020101010113**","10"
"FD12NRMMK","DEPOSIT","","###2020101010113**","11"
"FD12PIMMK","DEPOSIT","","###2020101010113**","12"
"FD12POMMK","DEPOSIT","","###2020101010113**","13"
"FD03NRMMK","DEPOSIT","","###2020101010113**","14"
"FD03PIMMK","DEPOSIT","","###2020101010113**","15"
"FD03POMMK","DEPOSIT","","###2020101010113**","16"
"FD06NRMMK","DEPOSIT","","###2020101010113**","17"
"FD06PIMMK","DEPOSIT","","###2020101010113**","18"
"FD06POMMK","DEPOSIT","","###2020101010113**","19"
"FD09NRMMK","DEPOSIT","","###2020101010113**","20"
"FD09PIMMK","DEPOSIT","","###2020101010113**","21"
"FD09POMMK","DEPOSIT","","###2020101010113**","22"
"CAMMK0000","DEPOSIT","","###2020101010113**","23"
"PR120MMK0","DEPOSIT","","###2020101010113**","24"
"PR120MMK1","DEPOSIT","","###2020101010113**","25"
"PCMMK0000","DEPOSIT","","###2020101010113**","26"
"FIX3MNORO","DEPOSIT","","###2020101010113**","27"
"SCMMK0000","DEPOSIT","","###2020101010113**","28"
"CAUSD0000","DEPOSIT","","###2020301010101**","30"
