Database,Deposit,Table,ODCatalogGLs
"CatalogCode","SysAccountName","COAAccount","AccountAlias","Id"
"OD3MMMK001","CREDIT0","","###4050402010001**","1"
"OD3MMMK001","CREDIT1","","###4050402010002**","2"
"OD3MMMK001","CREDIT2","","###4050402010003**","3"
"OD3MMMK001","CREDIT3","","###4050402010004**","4"
"OD3MMMK001","CREDIT4","","###4050402010005**","5"
"OD3MMMK001","PROV_CR_RVS0","","###4050803010001**","6"
"OD3MMMK001","PROV_CR_RVS1","","###4050803010002**","7"
"OD3MMMK001","PROV_CR_RVS2","","###4050803010003**","8"
"OD3MMMK001","PROV_CR_RVS3","","###4050801010004**","9"
"OD3MMMK001","PROV_CR_RVS4","","###4050801010005**","10"
"OD3MMMK001","PROV_CR0","","###4050803010001**","11"
"OD3MMMK001","PROV_CR1","","###4050803010002**","12"
"OD3MMMK001","PROV_CR2","","###4050803010003**","13"
"OD3MMMK001","PROV_CR3","","###4050803010003**","14"
"OD3MMMK001","PROV_CR4","","###4050803010003**","15"
"OD3MMMK001","PROV_DR_RVS0","","###2050101000001**","16"
"OD3MMMK001","PROV_DR_RVS1","","###2050201000001**","17"
"OD3MMMK001","PROV_DR_RVS2","","###2050201000002**","18"
"OD3MMMK001","PROV_DR_RVS3","","###2050201000003**","19"
"OD3MMMK001","PROV_DR_RVS4","","###2050201000004**","20"
"OD3MMMK001","PROV_DR0","","###2050101000001**","21"
"OD3MMMK001","PROV_DR1","","###2050201000001**","22"
"OD3MMMK001","PROV_DR2","","###2050201000002**","23"
"OD3MMMK001","PROV_DR3","","###2050201000003**","24"
"OD3MMMK001","PROV_DR4","","###2050201000004**","25"
"ODAFMMK002","CREDIT0","","###4050402010001**","26"
"ODAFMMK002","CREDIT1","","###4050402010002**","27"
"ODAFMMK002","CREDIT2","","###4050402010003**","28"
"ODAFMMK002","CREDIT3","","###4050402010004**","29"
"ODAFMMK002","CREDIT4","","###4050402010005**","30"
"ODAFMMK002","PROV_CR_RVS0","","###4050803010001**","31"
"ODAFMMK002","PROV_CR_RVS1","","###4050803010002**","32"
"ODAFMMK002","PROV_CR_RVS2","","###4050803010003**","33"
"ODAFMMK002","PROV_CR_RVS3","","###4050801010004**","34"
"ODAFMMK002","PROV_CR_RVS4","","###4050801010005**","35"
"ODAFMMK002","PROV_CR0","","###4050803010001**","36"
"ODAFMMK002","PROV_CR1","","###4050803010002**","37"
"ODAFMMK002","PROV_CR2","","###4050803010003**","38"
"ODAFMMK002","PROV_CR3","","###4050803010003**","39"
"ODAFMMK002","PROV_CR4","","###4050803010003**","40"
"ODAFMMK002","PROV_DR_RVS0","","###2050101000001**","41"
"ODAFMMK002","PROV_DR_RVS1","","###2050201000001**","42"
"ODAFMMK002","PROV_DR_RVS2","","###2050201000002**","43"
"ODAFMMK002","PROV_DR_RVS3","","###2050201000003**","44"
"ODAFMMK002","PROV_DR_RVS4","","###2050201000004**","45"
"ODAFMMK002","PROV_DR0","","###2050101000001**","46"
"ODAFMMK002","PROV_DR1","","###2050201000001**","47"
"ODAFMMK002","PROV_DR2","","###2050201000002**","48"
"ODAFMMK002","PROV_DR3","","###2050201000003**","49"
"ODAFMMK002","PROV_DR4","","###2050201000004**","50"
"ODAHMMK003","CREDIT0","","###4050402010001**","51"
"ODAHMMK003","CREDIT1","","###4050402010002**","52"
"ODAHMMK003","CREDIT2","","###4050402010003**","53"
"ODAHMMK003","CREDIT3","","###4050402010004**","54"
"ODAHMMK003","CREDIT4","","###4050402010005**","55"
"ODAHMMK003","PROV_CR_RVS0","","###4050803010001**","56"
"ODAHMMK003","PROV_CR_RVS1","","###4050803010002**","57"
"ODAHMMK003","PROV_CR_RVS2","","###4050803010003**","58"
"ODAHMMK003","PROV_CR_RVS3","","###4050801010004**","59"
"ODAHMMK003","PROV_CR_RVS4","","###4050801010005**","60"
"ODAHMMK003","PROV_CR0","","###4050803010001**","61"
"ODAHMMK003","PROV_CR1","","###4050803010002**","62"
"ODAHMMK003","PROV_CR2","","###4050803010003**","63"
"ODAHMMK003","PROV_CR3","","###4050803010003**","64"
"ODAHMMK003","PROV_CR4","","###4050803010003**","65"
"ODAHMMK003","PROV_DR_RVS0","","###2050101000001**","66"
"ODAHMMK003","PROV_DR_RVS1","","###2050201000001**","67"
"ODAHMMK003","PROV_DR_RVS2","","###2050201000002**","68"
"ODAHMMK003","PROV_DR_RVS3","","###2050201000003**","69"
"ODAHMMK003","PROV_DR_RVS4","","###2050201000004**","70"
"ODAHMMK003","PROV_DR0","","###2050101000001**","71"
"ODAHMMK003","PROV_DR1","","###2050201000001**","72"
"ODAHMMK003","PROV_DR2","","###2050201000002**","73"
"ODAHMMK003","PROV_DR3","","###2050201000003**","74"
"ODAHMMK003","PROV_DR4","","###2050201000004**","75"
