Database,Deposit,Table,DepositCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
CAMMK0000,DEPOSIT,,###**32132?000000000,0
CAUSD0000,DEPOSIT,,###**32132?000000000,0
CAEUR0000,DEPOSIT,,###**32132?000000000,0
CASGD0000,DEPOSIT,,###**32132?000000000,0
SAMMK0000,DEPOSIT,,###**32132?000000000,0
PSMMK0000,DEPOSIT,,###**32132?000000000,0
BSMMK0000,DEPOSIT,,###**32132?000000000,0
CDMMK0000,DEPOSIT,,###**32132?000000000,0
FD01NRMMK,DEPOSIT,,###**32132?000000000,0
FD01PIMMK,DEPOSIT,,###**32132?000000000,0
FD01POMMK,DEPOSIT,,###**32132?000000000,0
FD12NRMMK,DEPOSIT,,###**32132?000000000,0
FD12PIMMK,DEPOSIT,,###**32132?000000000,0
FD12POMMK,DEPOSIT,,###**32132?000000000,0
FD03NRMMK,DEPOSIT,,###**32132?000000000,0
FD03PIMMK,DEPOSIT,,###**32132?000000000,0
FD03POMMK,DEPOSIT,,###**32132?000000000,0
FD06NRMMK,DEPOSIT,,###**32132?000000000,0
FD06PIMMK,DEPOSIT,,###**32132?000000000,0
FD06POMMK,DEPOSIT,,###**32132?000000000,0
FD09NRMMK,DEPOSIT,,###**32132?000000000,0
FD09PIMMK,DEPOSIT,,###**32132?000000000,0
FD09POMMK,DEPOSIT,,###**32132?000000000,0
PCMMK0000,DEPOSIT,,###**32132?000000000,0
SCMMK0000,DEPOSIT,,###**32132?000000000,0
PR120MMK0,DEPOSIT,,###**32132?000000000,0
PR120MMK1,DEPOSIT,,###**32132?000000000,0
