Database,Deposit,Table,IFCGLs
IfcCode,SysAccountName,AccountAlias,Id
1,IFCC,---**57111?000000000,0
2,IFCC,---**57111?000000000,0
4,IFCC,---**57111?000000000,0
5,IFCC,---**57111?000000000,0
6,IFCC,---**57111?000000000,0
8,IFCC,---**57111?000000000,0
9,IFCC,---**57111?000000000,0
11,IFCC,---**57111?000000000,0
13,IFCC,---**57111?000000000,0
15,IFCC,---**57111?000000000,0
16,IFCC,---**57111?000000000,0
18,IFCC,---**57111?000000000,0
19,IFCC,---**57111?000000000,0
20,IFCC,---**57111?000000000,0
21,IFCC,---**57111?000000000,0
22,IFCC,---**57111?000000000,0
23,IFCC,---**57111?000000000,0
24,IFCC,---**57111?000000000,0
25,IFCC,---**57111?000000000,0
26,IFCC,---**57111?000000000,0
27,IFCC,---**57111?000000000,0
28,IFCC,---**57111?000000000,0
29,IFCC,---**57111?000000000,0
30,IFCC,---**57111?000000000,0
31,IFCC,---**57111?000000000,0
32,IFCC,---**57111?000000000,0
33,IFCC,---**57111?000000000,0
34,IFCC,---**57111?000000000,0
35,IFCC,---**57111?000000000,0
36,IFCC,---**57111?000000000,0
37,IFCC,---**57111?000000000,0
38,IFCC,---**57111?000000000,0
39,IFCC,---**57111?000000000,0
40,IFCC,---**57111?000000000,0
41,IFCC,---**57111?000000000,0
42,IFCC,---**57111?000000000,0
43,IFCC,---**57111?000000000,0
101,INTEREST,###**34620?000000000,0
101,PAID_INTEREST,###**62230?000000000,0
101,REVERT_INTEREST,###**62230?000000000,0
101,PREPAID_INTEREST,###**62230?000000000,0
102,INTEREST,###**34620?000000000,0
102,PAID_INTEREST,###**62230?000000000,0
102,REVERT_INTEREST,###**62230?000000000,0
102,PREPAID_INTEREST,###**62230?000000000,0
103,INTEREST,###**34620?000000000,0
103,PAID_INTEREST,###**62230?000000000,0
103,REVERT_INTEREST,###**62230?000000000,0
103,PREPAID_INTEREST,###**62230?000000000,0
104,INTEREST,###**34620?000000000,0
104,PAID_INTEREST,###**62230?000000000,0
104,REVERT_INTEREST,###**62230?000000000,0
104,PREPAID_INTEREST,###**62230?000000000,0
105,INTEREST,###**34620?000000000,0
105,PAID_INTEREST,###**62230?000000000,0
105,REVERT_INTEREST,###**62230?000000000,0
105,PREPAID_INTEREST,###**62230?000000000,0
106,INTEREST,###**34620?000000000,0
106,PAID_INTEREST,###**62230?000000000,0
106,REVERT_INTEREST,###**62230?000000000,0
106,PREPAID_INTEREST,###**62230?000000000,0
107,INTEREST,###**34620?000000000,0
107,PAID_INTEREST,###**62230?000000000,0
107,REVERT_INTEREST,###**62230?000000000,0
107,PREPAID_INTEREST,###**62230?000000000,0
108,INTEREST,###**34620?000000000,0
108,PAID_INTEREST,###**62230?000000000,0
108,REVERT_INTEREST,###**62230?000000000,0
108,PREPAID_INTEREST,###**62230?000000000,0
109,INTEREST,###**34620?000000000,0
109,PAID_INTEREST,###**62230?000000000,0
109,REVERT_INTEREST,###**62230?000000000,0
109,PREPAID_INTEREST,###**62230?000000000,0
110,INTEREST,###**34620?000000000,0
110,PAID_INTEREST,###**62230?000000000,0
110,REVERT_INTEREST,###**62230?000000000,0
110,PREPAID_INTEREST,###**62230?000000000,0
111,INTEREST,###**34620?000000000,0
111,PAID_INTEREST,###**62230?000000000,0
111,REVERT_INTEREST,###**62230?000000000,0
111,PREPAID_INTEREST,###**62230?000000000,0
112,INTEREST,###**34620?000000000,0
112,PAID_INTEREST,###**62230?000000000,0
112,REVERT_INTEREST,###**62230?000000000,0
112,PREPAID_INTEREST,###**62230?000000000,0
113,INTEREST,###**34620?000000000,0
113,PAID_INTEREST,###**62230?000000000,0
113,REVERT_INTEREST,###**62230?000000000,0
113,PREPAID_INTEREST,###**62230?000000000,0
114,INTEREST,###**34620?000000000,0
114,PAID_INTEREST,###**62230?000000000,0
114,REVERT_INTEREST,###**62230?000000000,0
114,PREPAID_INTEREST,###**62230?000000000,0
115,INTEREST,###**34620?000000000,0
115,PAID_INTEREST,###**62230?000000000,0
115,REVERT_INTEREST,###**62230?000000000,0
115,PREPAID_INTEREST,###**62230?000000000,0
116,INTEREST,###**34620?000000000,0
116,PAID_INTEREST,###**62230?000000000,0
116,REVERT_INTEREST,###**62230?000000000,0
116,PREPAID_INTEREST,###**62230?000000000,0
117,INTEREST,###**34620?000000000,0
117,PAID_INTEREST,###**62230?000000000,0
117,REVERT_INTEREST,###**62230?000000000,0
117,PREPAID_INTEREST,###**62230?000000000,0
118,INTEREST,###**34620?000000000,0
118,PAID_INTEREST,###**62230?000000000,0
118,REVERT_INTEREST,###**62230?000000000,0
118,PREPAID_INTEREST,###**62230?000000000,0
119,INTEREST,###**34620?000000000,0
119,PAID_INTEREST,###**62230?000000000,0
119,REVERT_INTEREST,###**62230?000000000,0
119,PREPAID_INTEREST,###**62230?000000000,0
120,INTEREST,###**34620?000000000,0
120,PAID_INTEREST,###**62230?000000000,0
120,REVERT_INTEREST,###**62230?000000000,0
120,PREPAID_INTEREST,###**62230?000000000,0
121,INTEREST,###**34620?000000000,0
121,PAID_INTEREST,###**62230?000000000,0
121,REVERT_INTEREST,###**62230?000000000,0
121,PREPAID_INTEREST,###**62230?000000000,0
122,INTEREST,###**34620?000000000,0
122,PAID_INTEREST,###**62230?000000000,0
122,REVERT_INTEREST,###**62230?000000000,0
122,PREPAID_INTEREST,###**62230?000000000,0
123,PENALTY_FEE,###**57111?000000000,0
124,INTEREST,###**34620?000000000,0
124,PAID_INTEREST,###**62230?000000000,0
124,REVERT_INTEREST,###**62230?000000000,0
124,PREPAID_INTEREST,###**62230?000000000,0
125,INTEREST,###**34620?000000000,0
125,PAID_INTEREST,###**62230?000000000,0
125,REVERT_INTEREST,###**62230?000000000,0
125,PREPAID_INTEREST,###**62230?000000000,0
126,INTEREST,###**34620?000000000,0
126,PAID_INTEREST,###**62230?000000000,0
126,REVERT_INTEREST,###**62230?000000000,0
126,PREPAID_INTEREST,###**62230?000000000,0
127,INTEREST,###**34620?000000000,0
127,PAID_INTEREST,###**62230?000000000,0
127,REVERT_INTEREST,###**62230?000000000,0
127,PREPAID_INTEREST,###**62230?000000000,0
201,INTEREST0,###**34620?000000000,0
201,PAID_INTEREST0,###**62230?000000000,0
201,INTEREST1,###**34620?000000000,0
201,PAID_INTEREST1,###**62230?000000000,0
201,INTEREST2,###**34620?000000000,0
201,PAID_INTEREST2,###**62230?000000000,0
201,INTEREST3,###**34620?000000000,0
201,INTEREST4,###**34620?000000000,0
201,PAID_INTEREST_S,###**62230?000000000,0
202,COMMITMENT_FEE0,###**34620?000000000,0
202,PAID_COMMITMENT_FEE0,###**62230?000000000,0
202,COMMITMENT_FEE1,###**34620?000000000,0
202,PAID_COMMITMENT_FEE1,###**62230?000000000,0
202,COMMITMENT_FEE2,###**34620?000000000,0
202,PAID_COMMITMENT_FEE2,###**62230?000000000,0
202,COMMITMENT_FEE3,###**34620?000000000,0
202,COMMITMENT_FEE4,###**34620?000000000,0
202,PAID_COMMITMENT_FEE_S,###**62230?000000000,0
211,INTEREST0,###**34620?000000000,0
211,PAID_INTEREST0,###**62230?000000000,0
211,INTEREST1,###**34620?000000000,0
211,PAID_INTEREST1,###**62230?000000000,0
211,INTEREST2,###**34620?000000000,0
211,PAID_INTEREST2,###**62230?000000000,0
211,INTEREST3,###**34620?000000000,0
211,INTEREST4,###**34620?000000000,0
211,PAID_INTEREST_S,###**62230?000000000,0
212,COMMITMENT_FEE0,###**34620?000000000,0
212,PAID_COMMITMENT_FEE0,###**62230?000000000,0
212,COMMITMENT_FEE1,###**34620?000000000,0
212,PAID_COMMITMENT_FEE1,###**62230?000000000,0
212,COMMITMENT_FEE2,###**34620?000000000,0
212,PAID_COMMITMENT_FEE2,###**62230?000000000,0
212,COMMITMENT_FEE3,###**34620?000000000,0
212,COMMITMENT_FEE4,###**34620?000000000,0
212,PAID_COMMITMENT_FEE_S,###**62230?000000000,0
221,INTEREST0,###**34620?000000000,0
221,PAID_INTEREST0,###**62230?000000000,0
221,INTEREST1,###**34620?000000000,0
221,PAID_INTEREST1,###**62230?000000000,0
221,INTEREST2,###**34620?000000000,0
221,PAID_INTEREST2,###**62230?000000000,0
221,INTEREST3,###**34620?000000000,0
221,INTEREST4,###**34620?000000000,0
221,PAID_INTEREST_S,###**62230?000000000,0
223,COMMITMENT_FEE0,###**34620?000000000,0
223,PAID_COMMITMENT_FEE0,###**62230?000000000,0
223,COMMITMENT_FEE1,###**34620?000000000,0
223,PAID_COMMITMENT_FEE1,###**62230?000000000,0
223,COMMITMENT_FEE2,###**34620?000000000,0
223,PAID_COMMITMENT_FEE2,###**62230?000000000,0
223,COMMITMENT_FEE3,###**34620?000000000,0
223,COMMITMENT_FEE4,###**34620?000000000,0
223,PAID_COMMITMENT_FEE_S,###**62230?000000000,0
