Database,Admin,Table,Currency
"CurrencyId","ShortCurrencyId","CurrencyName","CurrencyNumber","MasterName","DecimalName","DecimalDigits","RoundingDigits","StatusOfCurrency","DisplayOrder","UpdatedOnUtc","CreatedOnUtc","Id"
"MMK","01","{""CurrencyName1"":"""",""CurrencyName2"":"""",""CurrencyName3"":""""}","104","{""MasterName1"":""Kyat"",""MasterName2"":"""",""MasterName3"":""""}","{""DecimalName1"":""Pya"",""DecimalName2"":"""",""DecimalName3"":""""}","2","2","A","1","4/25/2023 8:37:15AM","","1"
"USD","02","{""CurrencyName1"":"""",""CurrencyName2"":"""",""CurrencyName3"":""""}","840","{""MasterName1"":""Dollar"",""MasterName2"":"""",""MasterName3"":""""}","{""DecimalName1"":""Cent"",""DecimalName2"":"""",""DecimalName3"":""""}","2","2","A","2","4/25/2023 8:39:05AM","","2"
"EUR","03","","978","","","2","2","A","3","","","3"
"SGD","04","{""CurrencyName1"":"""",""CurrencyName2"":"""",""CurrencyName3"":""""}","702","{""MasterName1"":""Dollar"",""MasterName2"":"""",""MasterName3"":""""}","{""DecimalName1"":""Cent"",""DecimalName2"":"""",""DecimalName3"":""""}","2","2","A","4","4/25/2023 8:39:29AM","","4"
"JPY","05","","392","","","0","2","A","5","","","5"
"THB","06","","764","","","2","2","A","6","","","6"
"CNY","07","{""CurrencyName1"":"""",""CurrencyName2"":"""",""CurrencyName3"":""""}","156","{""MasterName1"":"""",""MasterName2"":"""",""MasterName3"":""""}","{""DecimalName1"":"""",""DecimalName2"":"""",""DecimalName3"":""""}","2","2","N","10","5/8/2023 12:15:00PM","","7"
"MYR","08","","458","","","2","2","N","9","","","8"
"HKD","09","","344","","","2","2","N","19","","","9"
"LAK","10","","418","","","2","2","N","8","","","10"
"CHF","11","","756","","","2","2","N","16","","","11"
"AUD","12","","36","","","2","2","N","11","","","12"
"VND","13","","704","","","2","2","N","14","","","13"
"NZD","14","","554","","","2","2","N","12","","","14"
"GBP","15","","826","","","2","2","N","17","","","15"
"BND","16","","96","","","2","2","N","18","","","16"
"KHR","18","","116","","","2","2","N","7","","","17"
"CAD","20","","124","","","2","2","N","25","","","18"
"IDR","22","","360","","","2","2","N","21","","","19"
"KRW","23","","410","","","2","2","N","22","","","20"
"DKK","24","","208","","","2","2","N","23","","","21"
"SEK","26","","752","","","2","2","N","13","","","22"
"NOK","27","","578","","","2","2","N","15","","","23"
"PHP","28","","608","","","2","2","N","24","","","24"
"AAA","99","","","","","2","2","N","","","","25"
"AED","99","","784","","","2","2","N","","","","26"
"AFN","99","","971","","","2","2","N","","","","27"
"ALL","99","","8","","","2","2","N","","","","28"
"AMD","99","","51","","","2","2","N","","","","29"
"ANG","99","","532","","","2","2","N","","","","30"
"AOA","99","","973","","","2","2","N","","","","31"
"ARS","99","","32","","","2","2","N","","","","32"
"AWG","99","","533","","","2","2","N","","","","33"
"AZN","99","","944","","","2","2","N","","","","34"
"BAM","99","","977","","","2","2","N","","","","35"
"BBD","99","","52","","","2","2","N","","","","36"
"BDT","99","","50","","","2","2","N","","","","37"
"BGN","99","","975","","","2","2","N","","","","38"
"BHD","99","","48","","","2","2","N","","","","39"
"BIF","99","","108","","","2","2","N","","","","40"
"BMD","99","","60","","","2","2","N","","","","41"
"BOB","99","","68","","","2","2","N","","","","42"
"BOT","99","","999","","","2","2","N","99","","","43"
"BOV","99","","984","","","2","2","N","","","","44"
"BRL","99","","986","","","2","2","N","","","","45"
"BSD","99","","44","","","2","2","N","","","","46"
"BTN","99","","64","","","2","2","N","","","","47"
"BWP","99","","72","","","2","2","N","","","","48"
"BYR","99","","974","","","2","2","N","","","","49"
"BZD","99","","84","","","2","2","N","","","","50"
"CDF","99","","976","","","2","2","N","","","","51"
"CHE","99","","947","","","2","2","N","","","","52"
"CHW","99","","948","","","2","2","N","","","","53"
