Database,Credit,Table,CreditIFCDefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcCode,IfcName,ValueBase,IsLinked,IfcLinkage,IfcOperator,FloorValue,CeilingValue,ValueType,IfcType,IfcSubType,IfcValue,MarginValue,ValueBasic,Isnet,Refname,IfcTenor,IfcTenorUnit,IfcCondition,CurrencyCode,RoundingRule,RoundingBasis,RoundingNum,Isleave,Isbook,Booktday,BookTenor,BookTenorUnit,IfcStatus,UserCreated,UserApproved,Payrate,ShareFee,EffectValueDate,EffectValue,TransactionList,CreatedOnUtc,UpdatedOnUtc,Id
231,NR01 - Normal Loan - Interest Overdue,I,N,0,+,0,0,P,I,IN,9,0,Balance,,,1,Y,Balance > 0 AND CAST(WorkingDate AS DATE) < CAST(ToDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
232,NR01 - Normal Loan - Penalty Principle,I,N,0,+,0,0,P,F,PP,9,0,"dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
233,NR01 - Normal Loan - Penalty Interest,I,N,0,+,0,0,P,F,PI,9,0,"dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
241,NRIM - Normal Loan - Interest Overdue,I,N,0,+,0,0,P,I,IN,9,0,Balance,,,1,Y,Balance > 0 AND CAST(WorkingDate AS DATE) < CAST(ToDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
242,NRIM - Normal Loan - Penalty Principle,I,N,0,+,0,0,P,F,PP,9,0,"dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
243,NRIM - Normal Loan - Penalty Interest,I,N,0,+,0,0,P,F,PI,9,0,"dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
251,NR02 - Personal Guarantee - Interest Overdue,I,N,0,+,0,0,P,I,IN,13.5,0,Balance,,,1,Y,Balance > 0 AND CAST(WorkingDate AS DATE) < CAST(ToDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
252,NR02 - Personal Guarantee - Penalty Principle,I,N,0,+,0,0,P,F,PP,13.5,0,"dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
253,NR02 - Personal Guarantee - Penalty Interest,I,N,0,+,0,0,P,F,PI,13.5,0,"dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
261,TLY2 - TERM LOAN - 2 YEARS (360 EURO) - Interest Overdue,A,N,0,+,0,0,P,I,IN,12,0,Balance,,,1,Y,Balance > 0 AND CAST(WorkingDate AS DATE) < CAST(ToDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
262,TLY2 - TERM LOAN - 2 YEARS (360 EURO) - Penalty Principle,I,N,0,+,0,0,P,F,PP,12,0,"dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
263,TLY2 - TERM LOAN - 2 YEARS (360 EURO) - Penalty Interest,I,N,0,+,0,0,P,F,PI,12,0,"dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
271,TLY3 - TERM LOAN - 3 YEARS (360 EURO) - Interest Overdue,A,N,0,+,0,0,P,I,IN,13,0,Balance,,,1,Y,Balance > 0 AND CAST(WorkingDate AS DATE) < CAST(ToDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
272,TLY3 - TERM LOAN - 3 YEARS (360 EURO) - Penalty Principle,I,N,0,+,0,0,P,F,PP,13,0,"dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
273,TLY3 - TERM LOAN - 3 YEARS (360 EURO) - Penalty Interest,I,N,0,+,0,0,P,F,PI,13,0,"dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate)",,,1,Y,"Balance > 0 AND dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
281,ST01 - EMPLOYEE LOAN - Interest Overdue,I,N,0,+,0,0,P,I,IN,10,0,Balance,,,1,Y,Balance > 0 AND CAST(WorkingDate AS DATE) < CAST(ToDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
282,ST01 - EMPLOYEE LOAN - Penalty Principle,I,N,0,+,0,0,P,F,PP,0.04,0,"dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate)",,,1,D,"Balance > 0 AND dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
283,ST01 - EMPLOYEE LOAN - Penalty Interest,I,N,0,+,0,0,P,F,PI,0.04,0,"dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate)",,,1,D,"Balance > 0 AND dbo.GetCreditOvdDueIntAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
291,HP05 - HIRE PURCHASE - 1 YEAR - HP Interest,I,N,0,+,0,0,P,I,IN,9,0,Balance,,,1,Y,CAST(WorkingDate AS DATE) <= CAST(FromDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
292,HP05 - HIRE PURCHASE - 1 YEAR - Default Fee,I,N,0,+,0,0,P,F,PP,0.04,0,"dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate)",,,1,D,"Balance > 0 AND dbo.GetCreditOvdDuePrinAmount(account.AccountNumber,WorkingDate) > 0",MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
301,HP02 - HIRE PURCHASE - 2 YEARS - HP Interest,I,N,0,+,0,0,P,I,IN,9,0,Balance,,,1,Y,CAST(WorkingDate AS DATE) <= CAST(FromDate AS DATE),MMK,R,P,5,N,N,,0,M,N,911,,0,0,,0,,,,0
