Database,Credit,Table,IFCGLs
IFCCode,SysAccountName,AccountAlias,Id
40,IFCC,---**57111?000000000,0
41,IFCC,---**57111?000000000,0
42,IFCC,---**57111?000000000,0
43,IFCC,---**57111?000000000,0
44,IFCC,---**57111?000000000,0
45,IFCC,---**57111?000000000,0
46,IFCC,---**57111?000000000,0
47,IFCC,---**57111?000000000,0
48,IFCC,---**57111?000000000,0
231,INTEREST0,###**34620?000000000,0
231,PAID_INTEREST0,###**62230?000000000,0
231,INTEREST1,###**34620?000000000,0
231,PAID_INTEREST1,###**62230?000000000,0
231,INTEREST2,###**34620?000000000,0
231,PAID_INTEREST2,###**62230?000000000,0
231,INTEREST3,###**34620?000000000,0
231,INTEREST4,###**34620?000000000,0
231,PAID_INTEREST_S,###**62230?000000000,0
241,INTEREST0,###**34620?000000000,0
241,PAID_INTEREST0,###**62230?000000000,0
241,INTEREST1,###**34620?000000000,0
241,PAID_INTEREST1,###**62230?000000000,0
241,INTEREST2,###**34620?000000000,0
241,PAID_INTEREST2,###**62230?000000000,0
241,INTEREST3,###**34620?000000000,0
241,INTEREST4,###**34620?000000000,0
241,PAID_INTEREST_S,###**62230?000000000,0
251,INTEREST0,###**34620?000000000,0
251,PAID_INTEREST0,###**62230?000000000,0
251,INTEREST1,###**34620?000000000,0
251,PAID_INTEREST1,###**62230?000000000,0
251,INTEREST2,###**34620?000000000,0
251,PAID_INTEREST2,###**62230?000000000,0
251,INTEREST3,###**34620?000000000,0
251,INTEREST4,###**34620?000000000,0
251,PAID_INTEREST_S,###**62230?000000000,0
261,INTEREST0,###**34620?000000000,0
261,PAID_INTEREST0,###**62230?000000000,0
261,INTEREST1,###**34620?000000000,0
261,PAID_INTEREST1,###**62230?000000000,0
261,INTEREST2,###**34620?000000000,0
261,PAID_INTEREST2,###**62230?000000000,0
261,INTEREST3,###**34620?000000000,0
261,INTEREST4,###**34620?000000000,0
261,PAID_INTEREST_S,###**62230?000000000,0
271,INTEREST0,###**34620?000000000,0
271,PAID_INTEREST0,###**62230?000000000,0
271,INTEREST1,###**34620?000000000,0
271,PAID_INTEREST1,###**62230?000000000,0
271,INTEREST2,###**34620?000000000,0
271,PAID_INTEREST2,###**62230?000000000,0
