Database,Deposit,Table,DepositCatalogIFCs,
CatalogCode,IfcCode,CreatedOnUtc,UpdatedOnUtc,Id
BSMMK0000,102,,,0
BSMMK0000,103,,,0
CDMMK0000,106,,,0
FD01NRMMK,114,,,0
FD01PIMMK,114,,,0
FD01POMMK,114,,,0
FD12NRMMK,118,,,0
FD12NRMMK,124,,,0
FD12NRMMK,125,,,0
FD12NRMMK,126,,,0
FD12NRMMK,127,,,0
FD12PIMMK,118,,,0
FD12PIMMK,124,,,0
FD12PIMMK,125,,,0
FD12PIMMK,126,,,0
FD12PIMMK,127,,,0
FD12POMMK,118,,,0
FD12POMMK,124,,,0
FD12POMMK,125,,,0
FD12POMMK,126,,,0
FD12POMMK,127,,,0
FD03NRMMK,115,,,0
FD03NRMMK,124,,,0
FD03PIMMK,115,,,0
FD03PIMMK,124,,,0
FD03POMMK,115,,,0
FD03POMMK,124,,,0
FD06NRMMK,116,,,0
FD06NRMMK,124,,,0
FD06NRMMK,125,,,0
FD06PIMMK,116,,,0
FD06PIMMK,124,,,0
FD06PIMMK,125,,,0
FD06POMMK,116,,,0
FD06POMMK,124,,,0
FD06POMMK,125,,,0
FD09NRMMK,117,,,0
FD09NRMMK,124,,,0
FD09NRMMK,125,,,0
FD09NRMMK,126,,,0
FD09PIMMK,117,,,0
FD09PIMMK,124,,,0
FD09PIMMK,125,,,0
FD09PIMMK,126,,,0
FD09POMMK,117,,,0
FD09POMMK,124,,,0
FD09POMMK,125,,,0
FD09POMMK,126,,,0
PSMMK0000,104,,,0
PSMMK0000,105,,,0
PSMMK0000,108,,,0
PSMMK0000,109,,,0
SAMMK0000,101,,,0
PR120MMK0,119,,,0
PR120MMK0,120,,,0
PR120MMK1,121,,,0
PR120MMK1,122,,,0
PCMMK0000,107,,,0
SCMMK0000,110,,,0
SCMMK0000,111,,,0
SCMMK0000,112,,,0
SCMMK0000,113,,,0
