Database,Deposit,Table,DepositIFCDefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcCode,IfcName,ValueBase,IsLinked,IfcLinkage,IfcOperator,FloorValue,CeilingValue,ValueType,IfcType,IfcSubType,IfcValue,MarginValue,ValueBasic,Isnet,Refname,IfcTenor,IfcTenorUnit,IfcCondition,CurrencyCode,RoundingRule,RoundingBasis,RoundingNum,Isleave,Isbook,Booktday,BookTenor,BookTenorUnit,IfcStatus,UserCreated,UserApproved,Payrate,ShareFee,EffectValueDate,EffectValue,TransactionList,CreatedOnUtc,UpdatedOnUtc,Id
101,Savings account in MMK,I,N,0,+,0.00000,0.00000,P,I,IN,7.00000,0.00000,"dbo.GetMinBalance(IfcCode,AccountNumber, 5)",,,12,M,CurrentBalance >= 1000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
102,"Bonus savings account (Monthly average amount up to 999,999) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,7.00000,0.00000,"dbo.GetAverageBalance(IfcCode,AccountNumber)",,,1,Y,"dbo.GetAverageBalance(IfcCode,AccountNumber) < 1000000 AND  CurrentBalance >= 50000",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
103,"Bonus savings account (Monthly average amount 1,000,000 and above) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,8.00000,0.00000,"dbo.GetAverageBalance(IfcCode,AccountNumber)",,,1,Y,"dbo.GetAverageBalance(IfcCode,AccountNumber) >= 1000000 AND  CurrentBalance >= 50000",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
104,"Premier savings deposit account (Monthly average amount < 200,000,000) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,7.00000,0.00000,"dbo.GetAverageBalance(IfcCode,AccountNumber)",,,1,Y,"dbo.GetAverageBalance(IfcCode,AccountNumber) < 200000000 AND  CurrentBalance >= 50000",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
105,"Premier savings deposit account (Monthly average amount 200,000,000 and above) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,8.20000,0.00000,"dbo.GetAverageBalance(IfcCode,AccountNumber)",,,1,Y,"dbo.GetAverageBalance(IfcCode,AccountNumber) >= 200000000 AND  CurrentBalance >= 50000",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
106,Call deposit account in MMK,I,N,0,+,0.00000,0.00000,P,I,IN,6.00000,0.00000,CurrentBalance,,,1,Y,CurrentBalance >= 10000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
107,"Premium call deposit account (EOD balance 10,000 to 199,999,999) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,6.00000,0.00000,CurrentBalance,,,1,Y,CurrentBalance >= 10000 AND CurrentBalance < 200000000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
108,"Premium call deposit account (EOD balance 200,000,000 to 499,999,999) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,7.00000,0.00000,CurrentBalance,,,1,Y,CurrentBalance >= 200000000  AND CurrentBalance < 500000000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
109,"Premium call deposit account (EOD balance 500,000,000 and above) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,8.00000,0.00000,CurrentBalance,,,1,Y,CurrentBalance >= 500000000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
110,"SHWE cash call deposit account (EOD balance 10,000 to 249,999,999) in MMK",I,N,0,+,0.00000,0.00000,P,I,IN,8.50000,0.00000,CurrentBalance,,,1,Y,CurrentBalance >= 10000 AND CurrentBalance < 250000000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
